# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on May 29 2024 at 10:57:57+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
# Run ID: run-TOV_example-MacBook-Pro-di-Federico.local-Federico-2024.05.29-08.57.53-6214
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
58880 57.5 2.61703713094897e-05 2.61703713087859e-05 2.6170371309324e-05
59392 58 2.91904684656259e-05 2.91904684656182e-05 2.91904684654528e-05
59904 58.5 3.18048978846802e-05 3.18048978859323e-05 3.18048978850551e-05
60416 59 3.4664330343775e-05 3.4664330344425e-05 3.4664330343801e-05
60928 59.5 3.84123542203739e-05 3.84123542193548e-05 3.84123542198837e-05
61440 60 4.27460428789619e-05 4.27460428778606e-05 4.27460428788848e-05
61952 60.5 4.67250678043435e-05 4.6725067804454e-05 4.67250678047671e-05
62464 61 4.9956243816468e-05 4.99562438170864e-05 4.9956243816564e-05
62976 61.5 5.2975907523854e-05 5.29759075241799e-05 5.29759075235724e-05
63488 62 5.63814814189609e-05 5.63814814189644e-05 5.63814814189528e-05
64000 62.5 6.00983333865972e-05 6.00983333863021e-05 6.00983333866997e-05
64512 63 6.37765063316436e-05 6.37765063312523e-05 6.37765063315984e-05
65024 63.5 6.74292926552033e-05 6.74292926550767e-05 6.74292926552671e-05
65536 64 7.12109805379823e-05 7.12109805381452e-05 7.12109805377165e-05
66048 64.5 7.49380334688976e-05 7.49380334689727e-05 7.49380334681697e-05
66560 65 7.84123533540791e-05 7.84123533537152e-05 7.84123533539824e-05
67072 65.5 8.19582221783379e-05 8.19582221781083e-05 8.1958222178983e-05
67584 66 8.59860333974284e-05 8.5986033398127e-05 8.59860333978375e-05
68096 66.5 9.01417501303088e-05 9.01417501312158e-05 9.01417501303343e-05
68608 67 9.35903655798211e-05 9.35903655798091e-05 9.35903655799234e-05
69120 67.5 9.6263632984706e-05 9.62636329842985e-05 9.62636329848297e-05
69632 68 9.94020890120046e-05 9.94020890124678e-05 9.94020890123727e-05
70144 68.5 0.000104402558367615 0.00010440255836719 0.000104402558367468
70656 69 0.000108676236884525 0.000108676236883663 0.000108676236884029
71168 69.5 0.00011256009018045 0.000112560090180668 0.000112560090180997
71680 70 0.000116734429630273 0.000116734429631027 0.000116734429631191
72192 70.5 0.000121189734601795 0.000121189734601269 0.000121189734601004
72704 71 0.000125400960859242 0.000125400960858472 0.000125400960857843
73216 71.5 0.000129279075592412 0.00012927907559326 0.000129279075592897
73728 72 0.00013323693431524 0.000133236934316198 0.000133236934316549
74240 72.5 0.000137368725090391 0.000137368725089822 0.000137368725090403
74752 73 0.000141287631203717 0.000141287631203079 0.000141287631203097
75264 73.5 0.000144898746205023 0.000144898746205268 0.000144898746204733
75776 74 0.000148638771099416 0.00014863877109949 0.000148638771099182
76288 74.5 0.000152679243526079 0.000152679243525716 0.000152679243526081
76800 75 0.000156524833061644 0.000156524833061481 0.000156524833061869
77312 75.5 0.000159792535116938 0.000159792535117084 0.000159792535116829
77824 76 0.000162864749026631 0.000162864749026896 0.000162864749026513
78336 76.5 0.000166303537752139 0.000166303537752302 0.000166303537752412
78848 77 0.000169988068176866 0.000169988068176693 0.000169988068176997
79360 77.5 0.000173326716414738 0.000173326716414419 0.000173326716414491
79872 78 0.000176152009607484 0.000176152009607405 0.000176152009607201
80384 78.5 0.000178942992241366 0.00017894299224164 0.000178942992241257
80896 79 0.000182112152833384 0.000182112152833814 0.000182112152833691
81408 79.5 0.000185419850600533 0.000185419850600652 0.000185419850601046
81920 80 0.000188307639076136 0.000188307639075692 0.000188307639076087
82432 80.5 0.000190631203958274 0.000190631203957873 0.000190631203957926
82944 81 0.000192792270146062 0.000192792270146173 0.000192792270146116
83456 81.5 0.000195188665209752 0.000195188665209845 0.000195188665209774
83968 82 0.000197798025362432 0.000197798025362225 0.00019779802536201
84480 82.5 0.00020034996325262 0.000200349963252556 0.000200349963252164
84992 83 0.000202670686554637 0.000202670686554889 0.000202670686554593
85504 83.5 0.000204732318340567 0.000204732318340948 0.000204732318341103
86016 84 0.000206546037310187 0.000206546037310568 0.000206546037310845
86528 84.5 0.000208213145929235 0.000208213145929377 0.000208213145929323
87040 85 0.000210002536560004 0.000210002536559575 0.000210002536559572
87552 85.5 0.00021212201794927 0.000212122017948677 0.000212122017948773
88064 86 0.000214359567404564 0.000214359567404708 0.000214359567404546
88576 86.5 0.000216196074408998 0.000216196074409552 0.000216196074409749
89088 87 0.000217430027003446 0.000217430027003193 0.000217430027003978
