# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 23:53:42+0200
# parameter filename: "TOV_pert_150_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
# Run ID: run-TOV_pert_150_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-21.53.39-3492
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
101376 99 5.77242249565757e-06
101888 99.5 5.78057193944568e-06
102400 100 5.7890815108547e-06
102912 100.5 5.79798661682834e-06
103424 101 5.80732958831609e-06
103936 101.5 5.81718681376135e-06
104448 102 5.82763788646829e-06
104960 102.5 5.83874795877024e-06
105472 103 5.85058063353568e-06
105984 103.5 5.86321052967697e-06
106496 104 5.87672031302849e-06
107008 104.5 5.8911963178533e-06
107520 105 5.90672666585931e-06
108032 105.5 5.92339473499246e-06
108544 106 5.94127439962247e-06
109056 106.5 5.96043603310895e-06
109568 107 5.98095529521073e-06
110080 107.5 6.00291162388302e-06
110592 108 6.02637621737284e-06
111104 108.5 6.05140224688402e-06
111616 109 6.0780316717797e-06
112128 109.5 6.10631278024255e-06
112640 110 6.13630075449488e-06
113152 110.5 6.1680353852185e-06
113664 111 6.20152973602023e-06
114176 111.5 6.23679031336105e-06
114688 112 6.27383660460188e-06
115200 112.5 6.31268985178412e-06
115712 113 6.35335183705277e-06
116224 113.5 6.39580601214248e-06
116736 114 6.44003762474897e-06
117248 114.5 6.48604445424893e-06
117760 115 6.53382556461761e-06
118272 115.5 6.58336409060835e-06
118784 116 6.63462863633886e-06
119296 116.5 6.68759184951377e-06
119808 117 6.74224065245652e-06
120320 117.5 6.7985660778384e-06
120832 118 6.85654788515894e-06
121344 118.5 6.91615868085612e-06
121856 119 6.97738340136439e-06
122368 119.5 7.04022413730549e-06
122880 120 7.10468390360912e-06
123392 120.5 7.17075722733352e-06
123904 121 7.23844226675075e-06
124416 121.5 7.30775509083851e-06
124928 122 7.37872399658864e-06
125440 122.5 7.45137406541281e-06
125952 123 7.5257264265225e-06
126464 123.5 7.60181319292809e-06
126976 124 7.6796828150567e-06
127488 124.5 7.75938524091237e-06
128000 125 7.84096123686646e-06
128512 125.5 7.9244551312144e-06
129024 126 8.00992995680351e-06
129536 126.5 8.0974571597746e-06
130048 127 8.18709446232651e-06
130560 127.5 8.27888750311645e-06
131072 128 8.37289434768143e-06
131584 128.5 8.46919403213705e-06
132096 129 8.56786425160207e-06
132608 129.5 8.66896472611358e-06
133120 130 8.77254048291286e-06
133632 130.5 8.8786455721487e-06
134144 131 8.98735499263126e-06
134656 131.5 9.09874247100047e-06
135168 132 9.21286324990556e-06
135680 132.5 9.3297599316486e-06
136192 133 9.44948176323734e-06
136704 133.5 9.5720934081867e-06
137216 134 9.69766457878241e-06
137728 134.5 9.82625640290306e-06
138240 135 9.95791765629995e-06
138752 135.5 1.00926988987108e-05
139264 136 1.02306569432247e-05
139776 136.5 1.03718557654449e-05
140288 137 1.05163530567063e-05
140800 137.5 1.06642001378254e-05
141312 138 1.08154552647942e-05
141824 138.5 1.09701940380074e-05
142336 139 1.11285004641439e-05
142848 139.5 1.12904519545876e-05
143360 140 1.14561226984423e-05
143872 140.5 1.16256024459101e-05
144384 141 1.17990027832741e-05
144896 141.5 1.19764403922489e-05
145408 142 1.21580236584282e-05
145920 142.5 1.23438654397346e-05
146432 143 1.25341048048038e-05
146944 143.5 1.27289040032345e-05
147456 144 1.29284236553433e-05
147968 144.5 1.31328151485427e-05
148480 145 1.33422400252048e-05
148992 145.5 1.35568885897197e-05
149504 146 1.37769648860475e-05
150016 146.5 1.40026589683816e-05
150528 147 1.42341503592536e-05
151040 147.5 1.44716302994658e-05
151552 148 1.47152913732114e-05
152064 148.5 1.49653071623872e-05
152576 149 1.52218278737415e-05
153088 149.5 1.54849959155816e-05
153600 150 1.57549674701034e-05
154112 150.5 1.60319041043384e-05
154624 151 1.63159471491393e-05
155136 151.5 1.66072174335482e-05
155648 152 1.69058393321428e-05
156160 152.5 1.72119499400612e-05
156672 153 1.7525678318471e-05
157184 153.5 1.78471284990475e-05
157696 154 1.81763958456517e-05
158208 154.5 1.85135938624357e-05
158720 155 1.88588501631969e-05
159232 155.5 1.92122769519963e-05
159744 156 1.95739624668717e-05
160256 156.5 1.99440001017228e-05
160768 157 2.03225152190629e-05
161280 157.5 2.07096377067343e-05
161792 158 2.11054457526485e-05
162304 158.5 2.15099903996792e-05
162816 159 2.19233406754361e-05
163328 159.5 2.2345599873595e-05
163840 160 2.27768788931849e-05
164352 160.5 2.32172736208728e-05
164864 161 2.36668851095053e-05
165376 161.5 2.41258537810434e-05
165888 162 2.45943602628158e-05
166400 162.5 2.50726012431434e-05
166912 163 2.55607839872978e-05
167424 163.5 2.60591478114279e-05
167936 164 2.65679790781335e-05
168448 164.5 2.70876014806465e-05
