# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 03 2024 at 23:55:20+0200
# parameter filename: "TOV_0_dgrid_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
# Run ID: run-TOV_0_dgrid_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.03-21.55.17-83082
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
17920 17.5 2538.80594666006 2526.83845155575 26.966548204422 24.8148150444031 22.4180331230164 0 4.55070781707764 105 337559.638667921 337559.638667921 8376480 8376480 165733.252197969 165733.252197969 4112640 4112640 651.201534344401 882647.177847614 14186.1681988882 868461.009648726 2966 4014943 64735 3950208 0 0 0 0 26.7090015411377 1717451745.13836 22631
18432 18 2537.29978162621 2527.1256546612 27.6906940937042 25.5389609336853 23.0455620288849 0 4.73630404472351 108 337359.378965021 337359.378965021 8615808 8615808 165634.929744559 165634.929744559 4230144 4230144 660.045819411863 889160.726189308 14211.2213557845 874949.504833523 3148 4441509 66213 4375296 0 0 0 0 27.4258513450623 1717451745.8625 23270
18944 18.5 2534.67143664825 2527.1846078907 28.4273281097412 26.2755949497223 23.6811578273773 0 4.74835133552551 111 337009.914216751 337009.914216751 8855136 8855136 165463.351384398 165463.351384398 4347648 4347648 667.906925248611 936070.712951165 14212.511559194 921858.201391971 3174 4442958 67662 4375296 0 0 0 0 28.1555683612823 1717451746.59914 23909
19456 19 2533.24166382385 2527.34414148117 29.1527101993561 27.0009770393372 24.3565189838409 0 4.83872056007385 114 336819.811622019 336819.811622019 9094464 9094464 165370.015814421 165370.015814421 4465152 4465152 673.86804544924 927700.085352437 14375.3651391054 913324.720213331 3272 4458268 69148 4389120 0 0 0 0 28.872314453125 1717451747.32452 24548
19968 19.5 2526.99348356287 2527.33525036245 29.9317810535431 27.7800478935242 25.0822782516479 0 4.85464572906494 117 335989.053574519 335989.053574519 9333792 9333792 164962.134606984 164962.134606984 4582656 4582656 679.244890571614 919580.66263149 14514.6838501656 905065.978781324 3298 4459718 70598 4389120 0 0 0 0 29.6420478820801 1717451748.10359 25187
20480 20 2522.3753081525 2527.21481051158 30.6962561607361 28.5445230007172 25.7302372455597 0 5.06925010681152 120 335375.020971956 335375.020971956 9573120 9573120 164660.660116195 164660.660116195 4700160 4700160 684.250313589332 921271.360046259 14474.9750711424 906796.384975116 3480 4886291 72083 4814208 0 0 0 0 30.3991034030914 1717451748.86807 25826
20992 20.5 2516.46142572024 2526.81673343726 31.4786281585693 29.3268949985504 26.3990201950073 0 5.08192729949951 123 334588.711163763 334588.711163763 9812448 9812448 164274.601871017 164274.601871017 4817664 4817664 689.423283277213 962187.640278577 14435.7597133499 947751.880565227 3506 4887745 73537 4814208 0 0 0 0 31.1745457649231 1717451749.65044 26465
21504 21 2519.09405673142 2526.59824006084 32.1625220775604 30.0107889175415 27.0311141014099 0 5.17195844650269 126 334938.74578301 334938.74578301 10051776 10051776 164446.460023427 164446.460023427 4935168 4935168 694.546217444524 953776.43382617 14581.5730005806 939194.860825589 3604 4903057 75025 4828032 0 0 0 0 31.8500409126282 1717451750.33433 27104
22016 21.5 2522.11774460259 2526.40753307756 32.8402290344238 30.6884958744049 27.6559660434723 0 5.1863329410553 129 335340.77532236 335340.77532236 10291104 10291104 164643.846367657 164643.846367657 5052672 5052672 699.424393848984 945997.340134908 14711.2521361502 931286.087998758 3630 4904506 76474 4828032 0 0 0 0 32.5206191539764 1717451751.01204 27743
22528 22 2515.1926988704 2526.16243954507 33.6403741836548 31.4886410236359 28.3369626998901 0 5.40727186203003 132 334420.021241809 334420.021241809 10530432 10530432 164191.77938226 164191.77938226 5170176 5170176 703.32087401075 946530.363590918 14662.2603654359 931868.103225482 3812 5331081 77961 5253120 0 0 0 0 33.3127565383911 1717451751.81218 28382
23040 22.5 2510.04358771069 2525.69159475045 34.422089099884 32.2703559398651 29.0052382946014 0 5.41933679580688 135 333735.395422013 333735.395422013 10769760 10769760 163855.645405754 163855.645405754 5287680 5287680 707.791323375757 984395.397192745 14621.5952491732 969773.801943572 3838 5332530 79410 5253120 0 0 0 0 34.0870831012726 1717451752.5939 29021
23552 23 2506.41959504054 2525.26342447141 35.1869041919708 33.0351710319519 29.7106597423553 0 5.52305340766907 138 333253.549356591 333253.549356591 11009088 11009088 163619.071164247 163619.071164247 5405184 5405184 711.436466331148 974938.034472673 14735.4634626776 960202.571009995 3936 5347836 80892 5266944 0 0 0 0 34.8434965610504 1717451753.35871 29660
24064 23.5 2506.4710646322 2524.79091818037 35.9043669700623 33.7526338100433 30.3685925006866 0 5.53802156448364 141 333260.392753497 333260.392753497 11248416 11248416 163622.43109919 163622.43109919 5522688 5522688 714.985775142395 966275.094766159 14837.4903013822 951437.604464776 3962 5349288 82344 5266944 0 0 0 0 35.5533125400543 1717451754.07618 30299
24576 24 2504.2774934096 2524.35096862575 36.6527020931244 34.5009689331055 31.0131137371063 0 5.73727750778198 144 332968.735523741 332968.735523741 11487744 11487744 163479.234769779 163479.234769779 5640192 5640192 720.265335618937 968974.977432288 14828.7418727574 954146.235559531 4144 5775861 83829 5692032 0 0 0 0 36.2942864894867 1717451754.82451 30938
