# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
840192 205.125 1.08721792492836
840704 205.25 1.08739379531177
841216 205.375 1.08743859379223
841728 205.5 1.08736260940823
842240 205.625 1.0872104539542
842752 205.75 1.08686427930684
843264 205.875 1.08624762086966
843776 206 1.08515372250605
844288 206.125 1.08431319346319
844800 206.25 1.08408893023775
845312 206.375 1.08367648469386
845824 206.5 1.0832067825472
846336 206.625 1.08331031390154
846848 206.75 1.08362608081884
847360 206.875 1.08375550990806
847872 207 1.08372687797078
848384 207.125 1.08351744170475
848896 207.25 1.08312370543646
849408 207.375 1.08343084777181
849920 207.5 1.08358399369373
850432 207.625 1.08348259696625
850944 207.75 1.08315310864946
851456 207.875 1.08243906288158
851968 208 1.08181712142544
852480 208.125 1.08157345301586
852992 208.25 1.0810309850476
853504 208.375 1.08063220840837
854016 208.5 1.08106389769078
854528 208.625 1.08142467769483
855040 208.75 1.08168239556034
855552 208.875 1.08183613478601
856064 209 1.08248463051337
856576 209.125 1.08295252278856
857088 209.25 1.08322857949674
857600 209.375 1.08326878536075
858112 209.5 1.08308762999627
858624 209.625 1.08273780480539
859136 209.75 1.08215859971673
859648 209.875 1.08152869188107
860160 210 1.08127374159094
860672 210.125 1.08116982227069
861184 210.25 1.08133450884927
861696 210.375 1.08153463387619
862208 210.5 1.08195824248727
862720 210.625 1.08239530377612
863232 210.75 1.08276370384417
863744 210.875 1.08306401726515
864256 211 1.08318673111091
864768 211.125 1.08298190576021
865280 211.25 1.08234950667131
865792 211.375 1.08126025068134
866304 211.5 1.08083114311453
866816 211.625 1.08090937228668
867328 211.75 1.08093226548921
867840 211.875 1.0809035505041
868352 212 1.08082495618127
868864 212.125 1.08069863939792
869376 212.25 1.08053556588238
869888 212.375 1.08034364773947
870400 212.5 1.08011793262743
870912 212.625 1.0798593455814
871424 212.75 1.07957682423273
871936 212.875 1.07932895434168
872448 213 1.07941556214483
872960 213.125 1.0791774399696
873472 213.25 1.07894449931166
873984 213.375 1.07915832474657
874496 213.5 1.07933137212208
875008 213.625 1.0794825320222
875520 213.75 1.08033425921171
876032 213.875 1.08111528531244
876544 214 1.0818028290615
877056 214.125 1.08235797781656
877568 214.25 1.08278258126295
878080 214.375 1.0831131185556
878592 214.5 1.0833927770843
879104 214.625 1.08360966466418
879616 214.75 1.0837196964135
880128 214.875 1.08378044789187
880640 215 1.08403833706769
881152 215.125 1.0841366922176
881664 215.25 1.08407322400814
882176 215.375 1.08388620675322
882688 215.5 1.08351247386268
883200 215.625 1.08295751982874
883712 215.75 1.08244628698031
884224 215.875 1.08245700973564
884736 216 1.08245350016614
885248 216.125 1.08240727480353
885760 216.25 1.0823079814055
886272 216.375 1.08217144986578
886784 216.5 1.0820060735397
887296 216.625 1.08173496022322
887808 216.75 1.08128889712878
888320 216.875 1.08062059950396
888832 217 1.08028311741517
889344 217.125 1.08046115624422
889856 217.25 1.08110875333436
890368 217.375 1.08167947465359
890880 217.5 1.0821318270079
891392 217.625 1.08247943467982
891904 217.75 1.08270885921104
892416 217.875 1.0835127844127
892928 218 1.08421671790502
893440 218.125 1.08473775458723
893952 218.25 1.08543102304968
894464 218.375 1.08587759820188
894976 218.5 1.08625699725535
895488 218.625 1.08654375725863
896000 218.75 1.08669704842758
896512 218.875 1.08676987598534
897024 219 1.08696097927417
897536 219.125 1.08706204072022
898048 219.25 1.08699139009061
898560 219.375 1.08665542196221
899072 219.5 1.08593459755399
899584 219.625 1.08588647220069
900096 219.75 1.08584543694631
900608 219.875 1.08552722473886
901120 220 1.08484686487101
901632 220.125 1.08505120672121
902144 220.25 1.08517721857234
902656 220.375 1.08514292290248
903168 220.5 1.08495301005545
903680 220.625 1.08466539576813
904192 220.75 1.08473205298758
904704 220.875 1.08505320140506
905216 221 1.08528756637636
905728 221.125 1.08542370705187
906240 221.25 1.0852950340761
906752 221.375 1.08484001608005
907264 221.5 1.08427221256194
907776 221.625 1.08362290589029
908288 221.75 1.08432711836859
908800 221.875 1.08500520055202
909312 222 1.0855296857596
909824 222.125 1.08585908076939
910336 222.25 1.08613298955456
910848 222.375 1.0863589239535
911360 222.5 1.08651285578019
911872 222.625 1.08656769190643
912384 222.75 1.08649605523827
912896 222.875 1.08619605937961
913408 223 1.08556135100011
913920 223.125 1.08459785285247
914432 223.25 1.08337925612269
914944 223.375 1.08343441370615
915456 223.5 1.08331141248289
915968 223.625 1.08382459257954
916480 223.75 1.08428118016756
916992 223.875 1.08507389874957
917504 224 1.08598691368126
918016 224.125 1.08681839146464
918528 224.25 1.08757077739774
919040 224.375 1.08823291664668
919552 224.5 1.08879131573423
920064 224.625 1.08924455642575
920576 224.75 1.08960301045064
921088 224.875 1.0898336395355
921600 225 1.0898597310843
922112 225.125 1.08959294321256
922624 225.25 1.08889542668519
923136 225.375 1.08774148397559
923648 225.5 1.08621151815757
924160 225.625 1.08550542139218
924672 225.75 1.08615915214056
925184 225.875 1.08672746773093
925696 226 1.08719604235858
926208 226.125 1.08751439277547
926720 226.25 1.08776160269647
927232 226.375 1.0881680372825
927744 226.5 1.0884575985366
928256 226.625 1.0885953131314
928768 226.75 1.08855189523979
929280 226.875 1.08829498693313
929792 227 1.0877224029759
930304 227.125 1.08670265979214
930816 227.25 1.08695276691072
931328 227.375 1.08715672830571
931840 227.5 1.08731871815459
932352 227.625 1.0874402575537
932864 227.75 1.08749707950294
933376 227.875 1.08742548544908
933888 228 1.08580860804152
934400 228.125 1.08547956369352
934912 228.25 1.08515427933897
935424 228.375 1.08559878494814
935936 228.5 1.08600222071517
936448 228.625 1.08635932138431
936960 228.75 1.08666313409776
937472 228.875 1.08690572056762
937984 229 1.08706522850895
938496 229.125 1.0872104647149
939008 229.25 1.08756398591742
939520 229.375 1.08786085184116
940032 229.5 1.08813315893726
940544 229.625 1.08838714464255
941056 229.75 1.08862297498189
941568 229.875 1.08883227860758
942080 230 1.08900584873015
942592 230.125 1.08913783504209
943104 230.25 1.08922747556272
943616 230.375 1.08927492470739
944128 230.5 1.08927996524127
944640 230.625 1.08924217957808
945152 230.75 1.08916244268495
945664 230.875 1.08903222531618
946176 231 1.08906883082747
946688 231.125 1.08913533109262
947200 231.25 1.08917098123334
947712 231.375 1.08917751179855
948224 231.5 1.08915631732098
948736 231.625 1.08910135713436
949248 231.75 1.08900509815029
949760 231.875 1.08887109578938
950272 232 1.08870307637753
950784 232.125 1.0885032008861
951296 232.25 1.08828414458891
951808 232.375 1.08806106334874
952320 232.5 1.08782186433457
952832 232.625 1.08756866910155
953344 232.75 1.08730357700074
953856 232.875 1.08702889335963
954368 233 1.08674824683303
954880 233.125 1.08646531640909
955392 233.25 1.08618425817039
955904 233.375 1.08590903722807
956416 233.5 1.08564287719227
956928 233.625 1.08539069430876
957440 233.75 1.08515634683081
957952 233.875 1.08493704477016
958464 234 1.08472925343403
958976 234.125 1.0848561924256
959488 234.25 1.08513123688978
960000 234.375 1.08537678727518
960512 234.5 1.08559696000483
961024 234.625 1.08579846303582
961536 234.75 1.08597530893778
962048 234.875 1.08611424307288
962560 235 1.08620298105643
963072 235.125 1.08623470554044
963584 235.25 1.08620702035885
964096 235.375 1.08607650338088
964608 235.5 1.08581880673554
965120 235.625 1.08546502081614
965632 235.75 1.08503596948916
966144 235.875 1.08460662389711
966656 236 1.08448898033089
967168 236.125 1.08459214665631
967680 236.25 1.08463373455252
968192 236.375 1.0845696527088
968704 236.5 1.0842866312425
969216 236.625 1.0837487918558
969728 236.75 1.08393356141682
970240 236.875 1.08411372534357
970752 237 1.08427970208393
971264 237.125 1.08442771965473
971776 237.25 1.08455589790471
972288 237.375 1.08466256510296
972800 237.5 1.08474587256391
973312 237.625 1.08483121191059
973824 237.75 1.08491484164232
974336 237.875 1.08491259438382
974848 238 1.08495673668529
975360 238.125 1.08498555932811
975872 238.25 1.08512783143154
976384 238.375 1.08530483182266
976896 238.5 1.08618766237361
977408 238.625 1.08704011715049
977920 238.75 1.08778856725052
978432 238.875 1.088441021248
978944 239 1.08902321414714
979456 239.125 1.08951967418478
979968 239.25 1.08993148211375
980480 239.375 1.09046214921591
980992 239.5 1.09083518376632
981504 239.625 1.09096968159148
982016 239.75 1.09124507243583
982528 239.875 1.0910639684287
983040 240 1.09069148938076
983552 240.125 1.0902361112319
984064 240.25 1.08991552705612
984576 240.375 1.08977993668865
985088 240.5 1.08931437798518
985600 240.625 1.08903674605253
986112 240.75 1.08954055620097
986624 240.875 1.08985288191976
987136 241 1.08991135414773
987648 241.125 1.08977480884783
988160 241.25 1.08944827418423
988672 241.375 1.08959549778972
989184 241.5 1.08966757937139
989696 241.625 1.08935805589525
990208 241.75 1.08892132805153
990720 241.875 1.0885039962783
991232 242 1.08895980874237
991744 242.125 1.08935642762736
992256 242.25 1.08957728662883
992768 242.375 1.08971342481922
993280 242.5 1.08978796924063
993792 242.625 1.08978669215734
994304 242.75 1.08968709832269
994816 242.875 1.08946560434838
995328 243 1.08903490244545
995840 243.125 1.08831984535717
996352 243.25 1.08782206728396
996864 243.375 1.08789322724575
997376 243.5 1.0880101122565
997888 243.625 1.08810342626506
998400 243.75 1.08808863458002
998912 243.875 1.08809095936017
999424 244 1.08745441833594
999936 244.125 1.08580561416014
1000448 244.25 1.08571756415516
1000960 244.375 1.08605529590323
1001472 244.5 1.08609417139671
1001984 244.625 1.08591370320456
1002496 244.75 1.08563308302716
1003008 244.875 1.08584426428411
1003520 245 1.08586505688152
1004032 245.125 1.08521373641715
1004544 245.25 1.08537937181193
1005056 245.375 1.0855355024268
1005568 245.5 1.08568031213707
1006080 245.625 1.08581151141052
1006592 245.75 1.08592655253693
1007104 245.875 1.08602670470094
1007616 246 1.08611096783755
1008128 246.125 1.08617923221316
1008640 246.25 1.0862616357372
1009152 246.375 1.08635285482308
1009664 246.5 1.08643015007143
1010176 246.625 1.08646840975927
1010688 246.75 1.08647658585679
1011200 246.875 1.08645410105565
1011712 247 1.08600262148702
1012224 247.125 1.08500752653569
1012736 247.25 1.08465771806766
1013248 247.375 1.08449242504694
1013760 247.5 1.08444415936714
1014272 247.625 1.08430053286161
1014784 247.75 1.08429039079796
1015296 247.875 1.08430836711433
1015808 248 1.0845445858342
1016320 248.125 1.08486024132345
1016832 248.25 1.0851871375687
1017344 248.375 1.08551797545783
1017856 248.5 1.08584788598286
1018368 248.625 1.08617872130754
1018880 248.75 1.08650911648997
1019392 248.875 1.08683413689092
1019904 249 1.087143770984
1020416 249.125 1.08743298504319
1020928 249.25 1.08769527436323
1021440 249.375 1.08792389087178
1021952 249.5 1.08810315312357
1022464 249.625 1.08819834995132
1022976 249.75 1.08755002490481
1023488 249.875 1.08771964702963
1024000 250 1.08818418328407
1024512 250.125 1.08861981220033
1025024 250.25 1.08901934758234
1025536 250.375 1.08937316358744
1026048 250.5 1.08966759849143
1026560 250.625 1.08988453957892
1027072 250.75 1.09000319606221
1027584 250.875 1.08994932297149
1028096 251 1.08971935254705
1028608 251.125 1.08933306905253
1029120 251.25 1.08881715935489
1029632 251.375 1.0882474612776
1030144 251.5 1.08779886143547
1030656 251.625 1.08771310426998
1031168 251.75 1.08747589920352
1031680 251.875 1.08710215961967
1032192 252 1.08659153825279
1032704 252.125 1.08598420701834
1033216 252.25 1.0852259089954
1033728 252.375 1.08428836253778
1034240 252.5 1.08324306122477
1034752 252.625 1.08361552565944
1035264 252.75 1.08395032339684
1035776 252.875 1.08424376376754
1036288 253 1.0845000138744
1036800 253.125 1.08472547538141
1037312 253.25 1.08492713098232
1037824 253.375 1.08510859668917
1038336 253.5 1.08527012252736
1038848 253.625 1.08541230770542
1039360 253.75 1.08553914068049
1039872 253.875 1.08563983265585
1040384 254 1.08570869837965
1040896 254.125 1.08594675637044
1041408 254.25 1.08632080415316
1041920 254.375 1.08668674879575
1042432 254.5 1.08703704934271
1042944 254.625 1.08737042849905
1043456 254.75 1.08768762477411
1043968 254.875 1.08798782248687
1044480 255 1.08858036567215
1044992 255.125 1.08945234252948
1045504 255.25 1.09028133138509
1046016 255.375 1.09105871762551
1046528 255.5 1.0917676665033
1047040 255.625 1.09254923691691
1047552 255.75 1.09331790949689
1048064 255.875 1.0939770771021
1048576 256 1.09451856647556
1049088 256.125 1.09492514049358
1049600 256.25 1.09515476160479
1050112 256.375 1.09522957390028
1050624 256.5 1.09512506327072
1051136 256.625 1.09480784995736
1051648 256.75 1.09430763657711
1052160 256.875 1.09470746266832
1052672 257 1.09490768729062
1053184 257.125 1.09487612666247
1053696 257.25 1.09459264242288
1054208 257.375 1.09403601064313
1054720 257.5 1.09318476677708
1055232 257.625 1.09269555914648
1055744 257.75 1.09275503711655
