# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
1450496 354.125 -4.07443075400117e-06 -4.3786379203221e-06 -4.08947744020279e-06
1451008 354.25 -4.0048968779672e-06 -4.31127649066934e-06 -4.0232368074135e-06
1451520 354.375 -3.93398809886564e-06 -4.24303758714862e-06 -3.95630942391092e-06
1452032 354.5 -3.8617523259878e-06 -4.17365179745825e-06 -3.88849264495162e-06
1452544 354.625 -3.7884235736334e-06 -4.1028348839194e-06 -3.81954735775772e-06
1453056 354.75 -3.71804453685891e-06 -4.03050603133577e-06 -3.74937246275427e-06
1453568 354.875 -3.64655495165126e-06 -3.95682388050067e-06 -3.67806129229311e-06
1454080 355 -3.5741794784507e-06 -3.88205324623102e-06 -3.60581747278883e-06
1454592 355.125 -3.50115193749622e-06 -3.80638352306164e-06 -3.53282035784091e-06
1455104 355.25 -3.42754164088054e-06 -3.72982348304736e-06 -3.45914646872237e-06
1455616 355.375 -3.35322612703604e-06 -3.65223563801746e-06 -3.3847678494781e-06
1456128 355.5 -3.27798879677815e-06 -3.57346896276974e-06 -3.30958196989348e-06
1456640 355.625 -3.20168231693885e-06 -3.4934656754124e-06 -3.23345439455712e-06
1457152 355.75 -3.12432978424355e-06 -3.41226231557678e-06 -3.15629330293893e-06
1457664 355.875 -3.04608780872601e-06 -3.32993998516616e-06 -3.0781348829762e-06
1458176 356 -2.96713985535086e-06 -3.24661383319677e-06 -2.9991623230856e-06
1458688 356.125 -2.88763008991938e-06 -3.16244072210532e-06 -2.91961562166141e-06
1459200 356.25 -2.80763299750313e-06 -3.07755804718831e-06 -2.83964386616904e-06
1459712 356.375 -2.72709479764382e-06 -2.99196398321793e-06 -2.75919664940759e-06
1460224 356.5 -2.64579834326105e-06 -2.90546540555563e-06 -2.67802955659988e-06
1460736 356.625 -2.56347748099133e-06 -2.81778717394953e-06 -2.59585152083473e-06
1461248 356.75 -2.48005346445037e-06 -2.7287940111456e-06 -2.5125543881099e-06
1461760 356.875 -2.39577687348413e-06 -2.63866032078257e-06 -2.42835306141205e-06
1462272 357 -2.31110494186498e-06 -2.54781766066836e-06 -2.34367331068543e-06
1462784 357.125 -2.29000906535716e-06 -2.45665515723259e-06 -2.3160622163359e-06
1463296 357.25 -2.278589549801e-06 -2.36519188500001e-06 -2.30506446081039e-06
1463808 357.375 -2.26730285647052e-06 -2.28065813787322e-06 -2.29420690213561e-06
1464320 357.5 -2.25607372287346e-06 -2.26945895854716e-06 -2.28331734942466e-06
1464832 357.625 -2.24477882367353e-06 -2.25814053172187e-06 -2.27231144093051e-06
1465344 357.75 -2.23335540997989e-06 -2.24671234344909e-06 -2.2612105131177e-06
1465856 357.875 -2.22185668970912e-06 -2.23525440281139e-06 -2.25005334632633e-06
1466368 358 -2.21039255428296e-06 -2.22383814146162e-06 -2.23889876902166e-06
1466880 358.125 -2.19904400401969e-06 -2.21248385921042e-06 -2.2278303949917e-06
1467392 358.25 -2.18780390694436e-06 -2.20119183632235e-06 -2.21687333584709e-06
1467904 358.375 -2.17657757480047e-06 -2.18994470607435e-06 -2.20595655127475e-06
1468416 358.5 -2.16528277010764e-06 -2.17867506079112e-06 -2.19498538551823e-06
1468928 358.625 -2.1539328831727e-06 -2.16731298575589e-06 -2.18391973978755e-06
1469440 358.75 -2.14258061439159e-06 -2.15587431695349e-06 -2.17278918202584e-06
1469952 358.875 -2.1312461972115e-06 -2.14443334491077e-06 -2.16164418185754e-06
