# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 15:02:42+0200
# parameter filename: "TOV_0_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
# Run ID: run-TOV_0_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.08-13.02.38-69120
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
141312 34.5 1.50619803371159
141824 34.625 1.50619804769295
142336 34.75 1.50619806166574
142848 34.875 1.50619807565146
143360 35 1.50619808964769
143872 35.125 1.50619810365863
144384 35.25 1.50619811764221
144896 35.375 1.50619813160296
145408 35.5 1.50619814555647
145920 35.625 1.50619815952905
146432 35.75 1.50619817353421
146944 35.875 1.50619818759139
147456 36 1.50619820169517
147968 36.125 1.50619821583343
148480 36.25 1.50619822999439
148992 36.375 1.50619824418471
149504 36.5 1.5061982583646
150016 36.625 1.50619827259822
150528 36.75 1.50619828687198
151040 36.875 1.50619830118606
151552 37 1.50619831551023
152064 37.125 1.50619832987249
152576 37.25 1.50619834424895
153088 37.375 1.50619835865013
153600 37.5 1.50619837309371
154112 37.625 1.50619838757158
154624 37.75 1.50619840207104
155136 37.875 1.50619841657657
155648 38 1.50619843106738
156160 38.125 1.50619844558217
156672 38.25 1.50619846012748
157184 38.375 1.50619847472199
157696 38.5 1.50619848931869
158208 38.625 1.50619850391753
158720 38.75 1.50619851851314
159232 38.875 1.50619853311459
159744 39 1.5061985477226
160256 39.125 1.50619856235647
160768 39.25 1.50619857705412
161280 39.375 1.50619859177414
161792 39.5 1.50619860648157
162304 39.625 1.50619862122533
162816 39.75 1.50619863599487
163328 39.875 1.50619865076745
163840 40 1.50619866556911
164352 40.125 1.50619868040291
164864 40.25 1.50619869524506
165376 40.375 1.50619871011215
165888 40.5 1.50619872499898
166400 40.625 1.50619873991217
166912 40.75 1.50619875480581
167424 40.875 1.50619876971814
167936 41 1.50619878465274
168448 41.125 1.50619879955581
168960 41.25 1.50619881443456
169472 41.375 1.50619882928044
169984 41.5 1.50619884411992
170496 41.625 1.50619885894757
171008 41.75 1.50619887376285
171520 41.875 1.50619888859008
172032 42 1.50619890346199
172544 42.125 1.50619891844211
173056 42.25 1.50619893346891
173568 42.375 1.50619894853426
174080 42.5 1.50619896361122
174592 42.625 1.50619897871972
175104 42.75 1.5061989938542
175616 42.875 1.50619900902394
176128 43 1.50619902420341
176640 43.125 1.50619903935399
177152 43.25 1.50619905448022
177664 43.375 1.50619906958492
178176 43.5 1.50619908470788
178688 43.625 1.50619909981262
179200 43.75 1.50619911493584
179712 43.875 1.50619913007796
180224 44 1.50619914523274
180736 44.125 1.50619916042396
181248 44.25 1.50619917571075
181760 44.375 1.50619919105176
182272 44.5 1.50619920642262
182784 44.625 1.50619922181549
183296 44.75 1.50619923722753
183808 44.875 1.50619925262753
184320 45 1.50619926804462
184832 45.125 1.50619928347472
185344 45.25 1.50619929889667
185856 45.375 1.50619931430427
186368 45.5 1.50619932974161
186880 45.625 1.50619934515604
187392 45.75 1.50619936056624
187904 45.875 1.50619937601349
188416 46 1.50619939147829
188928 46.125 1.5061994069542
189440 46.25 1.50619942248243
189952 46.375 1.50619943808612
190464 46.5 1.50619945372593
190976 46.625 1.50619946934791
191488 46.75 1.5061994849771
192000 46.875 1.50619950057702
192512 47 1.50619951617957
193024 47.125 1.50619953180682
193536 47.25 1.50619954745272
194048 47.375 1.5061995630996
194560 47.5 1.50619957876051
195072 47.625 1.50619959439704
195584 47.75 1.50619961000278
196096 47.875 1.50619962559928
196608 48 1.50619964122055
197120 48.125 1.50619965685068
197632 48.25 1.50619967250536
198144 48.375 1.50619968818352
198656 48.5 1.50619970386688
199168 48.625 1.50619971957975
199680 48.75 1.50619973529779
200192 48.875 1.50619975106548
200704 49 1.50619976687697
201216 49.125 1.50619978269379
201728 49.25 1.50619979853862
202240 49.375 1.50619981435052
202752 49.5 1.50619983013987
203264 49.625 1.50619984586351
203776 49.75 1.50619986155705
204288 49.875 1.50619987727685
204800 50 1.50619989302231
205312 50.125 1.50619990876609
205824 50.25 1.50619992453248
206336 50.375 1.50619994033244
206848 50.5 1.50619995616725
207360 50.625 1.50619997204034
207872 50.75 1.50619998794455
208384 50.875 1.50620000386335
208896 51 1.50620001976805
209408 51.125 1.50620003569338
209920 51.25 1.50620005159719
210432 51.375 1.50620006748333
210944 51.5 1.50620008337744
211456 51.625 1.50620009928972
211968 51.75 1.50620011520793
212480 51.875 1.50620013113725
212992 52 1.50620014710483
213504 52.125 1.50620016310107
214016 52.25 1.50620017912431
214528 52.375 1.50620019511548
215040 52.5 1.50620021112167
215552 52.625 1.50620022713864
216064 52.75 1.50620024317173
216576 52.875 1.50620025917864
217088 53 1.50620027517974
217600 53.125 1.50620029116461
218112 53.25 1.50620030715893
218624 53.375 1.50620032317604
219136 53.5 1.5062003392177
219648 53.625 1.50620035530373
220160 53.75 1.50620037145051
220672 53.875 1.50620038761634
221184 54 1.5062004037886
221696 54.125 1.50620041997112
222208 54.25 1.50620043616315
222720 54.375 1.50620045236275
223232 54.5 1.50620046855435
223744 54.625 1.50620048471311
224256 54.75 1.50620050088144
224768 54.875 1.50620051705724
225280 55 1.50620053323265
225792 55.125 1.50620054943641
226304 55.25 1.50620056567704
226816 55.375 1.50620058192688
227328 55.5 1.50620059815422
227840 55.625 1.50620061436631
228352 55.75 1.50620063055492
228864 55.875 1.50620064673751
229376 56 1.50620066289449
229888 56.125 1.50620067901789
230400 56.25 1.50620069511165
230912 56.375 1.5062007112026
231424 56.5 1.5062007273231
231936 56.625 1.50620074348082
232448 56.75 1.50620075968477
232960 56.875 1.50620077590815
233472 57 1.50620079213775
233984 57.125 1.50620080836635
234496 57.25 1.50620082461659
235008 57.375 1.5062008408659
235520 57.5 1.50620085713033
236032 57.625 1.50620087342791
236544 57.75 1.50620088972178
237056 57.875 1.5062009060599
237568 58 1.50620092242894
238080 58.125 1.50620093880734
238592 58.25 1.5062009552354
239104 58.375 1.50620097169267
239616 58.5 1.50620098816972
240128 58.625 1.5062010046347
240640 58.75 1.50620102111541
241152 58.875 1.50620103760271
241664 59 1.50620105407965
242176 59.125 1.50620107052515
242688 59.25 1.50620108700031
243200 59.375 1.50620110349156
243712 59.5 1.50620111994139
244224 59.625 1.50620113637425
244736 59.75 1.50620115279985
245248 59.875 1.5062011692369
245760 60 1.50620118567414
246272 60.125 1.50620120210095
246784 60.25 1.50620121853952
247296 60.375 1.50620123496432
247808 60.5 1.50620125139732
248320 60.625 1.50620126784847
248832 60.75 1.50620128430368
249344 60.875 1.50620130078703
249856 61 1.50620131727097
250368 61.125 1.50620133375164
250880 61.25 1.50620135020489
251392 61.375 1.50620136664729
251904 61.5 1.50620138310351
252416 61.625 1.50620139958232
252928 61.75 1.50620141604132
253440 61.875 1.50620143250574
253952 62 1.50620144896265
254464 62.125 1.50620146541477
254976 62.25 1.50620148187765
255488 62.375 1.50620149835068
256000 62.5 1.50620151483031
256512 62.625 1.50620153131118
257024 62.75 1.50620154778772
257536 62.875 1.50620156425832
258048 63 1.50620158070392
258560 63.125 1.50620159713885
259072 63.25 1.50620161358453
259584 63.375 1.5062016300308
260096 63.5 1.50620164651034
260608 63.625 1.50620166300262
261120 63.75 1.50620167950548
261632 63.875 1.50620169603485
262144 64 1.50620171256285
262656 64.125 1.50620172907733
263168 64.25 1.50620174556597
263680 64.375 1.50620176202985
264192 64.5 1.50620177846944
264704 64.625 1.5062017949095
265216 64.75 1.50620181135853
265728 64.875 1.50620182783682
266240 65 1.5062018443693
266752 65.125 1.50620186097368
267264 65.25 1.50620187761427
267776 65.375 1.50620189427817
268288 65.5 1.50620191094383
268800 65.625 1.50620192758665
269312 65.75 1.5062019442312
269824 65.875 1.50620196088817
270336 66 1.50620197754145
270848 66.125 1.50620199418666
271360 66.25 1.50620201085939
271872 66.375 1.50620202753027
272384 66.5 1.5062020442241
272896 66.625 1.50620206093635
273408 66.75 1.50620207766958
273920 66.875 1.50620209439316
274432 67 1.50620211111563
274944 67.125 1.50620212784528
275456 67.25 1.50620214459774
275968 67.375 1.50620216136001
276480 67.5 1.5062021781279
276992 67.625 1.50620219491184
277504 67.75 1.50620221171857
278016 67.875 1.50620222850379
278528 68 1.50620224531139
279040 68.125 1.50620226213416
279552 68.25 1.50620227896326
280064 68.375 1.5062022957962
280576 68.5 1.5062023125966
281088 68.625 1.50620232938114
281600 68.75 1.50620234615333
282112 68.875 1.5062023629141
282624 69 1.50620237967086
283136 69.125 1.50620239644084
283648 69.25 1.50620241321462
284160 69.375 1.50620242998081
284672 69.5 1.50620244672839
285184 69.625 1.50620246346587
285696 69.75 1.5062024802282
286208 69.875 1.50620249701068
286720 70 1.50620251377644
287232 70.125 1.50620253054753
287744 70.25 1.50620254729879
288256 70.375 1.50620256401359
288768 70.5 1.50620258074273
289280 70.625 1.50620259751739
289792 70.75 1.50620261427291
290304 70.875 1.50620263104448
290816 71 1.5062026478069
291328 71.125 1.5062026645611
291840 71.25 1.50620268132188
292352 71.375 1.5062026980721
292864 71.5 1.50620271485079
293376 71.625 1.50620273165446
293888 71.75 1.50620274842506
294400 71.875 1.50620276518084
294912 72 1.5062027819257
295424 72.125 1.50620279869473
295936 72.25 1.5062028155071
296448 72.375 1.50620283232651
296960 72.5 1.50620284915003
297472 72.625 1.50620286593792
297984 72.75 1.50620288272705
298496 72.875 1.50620289955073
299008 73 1.50620291638865
299520 73.125 1.50620293324479
300032 73.25 1.50620295013026
300544 73.375 1.50620296703533
301056 73.5 1.50620298394352
301568 73.625 1.5062030008437
302080 73.75 1.50620301772384
302592 73.875 1.5062030345988
303104 74 1.50620305151943
303616 74.125 1.50620306843347
304128 74.25 1.50620308536595
304640 74.375 1.50620310229281
305152 74.5 1.50620311923594
305664 74.625 1.50620313616085
306176 74.75 1.50620315308964
306688 74.875 1.5062031699733
307200 75 1.50620318687036
307712 75.125 1.5062032038215
308224 75.25 1.50620322080743
308736 75.375 1.50620323780854
309248 75.5 1.50620325483007
309760 75.625 1.50620327188547
310272 75.75 1.50620328896374
310784 75.875 1.50620330605351
311296 76 1.50620332315767
311808 76.125 1.50620334021871
312320 76.25 1.50620335725837
312832 76.375 1.50620337430394
313344 76.5 1.50620339137883
313856 76.625 1.5062034084719
314368 76.75 1.50620342554613
314880 76.875 1.50620344261997
315392 77 1.50620345971558
315904 77.125 1.50620347680055
316416 77.25 1.50620349388559
316928 77.375 1.50620351095057
317440 77.5 1.50620352800177
317952 77.625 1.50620354504654
318464 77.75 1.50620356207256
318976 77.875 1.50620357911975
319488 78 1.50620359618618
320000 78.125 1.50620361324778
320512 78.25 1.50620363031211
321024 78.375 1.5062036473901
321536 78.5 1.50620366446485
322048 78.625 1.50620368150356
322560 78.75 1.50620369852894
323072 78.875 1.50620371551468
323584 79 1.50620373248847
324096 79.125 1.50620374947512
324608 79.25 1.50620376647805
325120 79.375 1.50620378349059
325632 79.5 1.50620380054145
326144 79.625 1.50620381760871
326656 79.75 1.50620383469027
327168 79.875 1.50620385181118
327680 80 1.50620386896635
328192 80.125 1.50620388611342
328704 80.25 1.50620390327688
329216 80.375 1.5062039204254
329728 80.5 1.50620393758411
330240 80.625 1.50620395476872
330752 80.75 1.50620397195967
331264 80.875 1.50620398915335
331776 81 1.5062040063418
332288 81.125 1.50620402355016
332800 81.25 1.50620404074746
333312 81.375 1.50620405797296
333824 81.5 1.50620407516069
334336 81.625 1.50620409234546
334848 81.75 1.50620410956175
335360 81.875 1.50620412679692
335872 82 1.50620414402076
336384 82.125 1.50620416125433
336896 82.25 1.50620417848566
337408 82.375 1.50620419568497
337920 82.5 1.50620421288078
338432 82.625 1.50620423006744
338944 82.75 1.50620424723854
339456 82.875 1.50620426440443
339968 83 1.50620428157269
340480 83.125 1.50620429872953
340992 83.25 1.50620431589749
341504 83.375 1.5062043330272
342016 83.5 1.50620435016508
342528 83.625 1.50620436733845
343040 83.75 1.50620438453891
343552 83.875 1.50620440172924
344064 84 1.50620441893266
344576 84.125 1.50620443616332
345088 84.25 1.5062044534214
345600 84.375 1.50620447071189
346112 84.5 1.50620448803409
346624 84.625 1.50620450536739
347136 84.75 1.50620452270421
347648 84.875 1.50620454004233
348160 85 1.50620455740023
348672 85.125 1.50620457479077
349184 85.25 1.50620459222621
349696 85.375 1.50620460969272
350208 85.5 1.50620462723276
350720 85.625 1.5062046447735
351232 85.75 1.50620466237375
351744 85.875 1.50620467994493
352256 86 1.50620469745738
352768 86.125 1.50620471494756
353280 86.25 1.50620473241265
353792 86.375 1.5062047498527
354304 86.5 1.50620476725485
354816 86.625 1.50620478464467
355328 86.75 1.50620480204981
355840 86.875 1.50620481940882
356352 87 1.50620483673268
356864 87.125 1.50620485401405
357376 87.25 1.50620487129755
357888 87.375 1.50620488856958
358400 87.5 1.50620490587729
358912 87.625 1.50620492319584
359424 87.75 1.50620494049161
359936 87.875 1.5062049577468
360448 88 1.50620497500447
360960 88.125 1.50620499228365
361472 88.25 1.50620500963312
361984 88.375 1.50620502702259
362496 88.5 1.50620504445853
363008 88.625 1.50620506188932
363520 88.75 1.50620507936636
364032 88.875 1.5062050968723
364544 89 1.50620511439443
365056 89.125 1.50620513190504
365568 89.25 1.50620514941623
366080 89.375 1.50620516690483
366592 89.5 1.50620518441751
367104 89.625 1.50620520193381
367616 89.75 1.5062052194892
368128 89.875 1.50620523710634
368640 90 1.5062052547376
369152 90.125 1.50620527239179
369664 90.25 1.50620529004983
370176 90.375 1.50620530769832
370688 90.5 1.50620532530942
371200 90.625 1.5062053429502
371712 90.75 1.50620536057101
372224 90.875 1.50620537817262
372736 91 1.5062053957182
373248 91.125 1.50620541328543
373760 91.25 1.50620543086965
374272 91.375 1.50620544844028
374784 91.5 1.50620546603984
375296 91.625 1.50620548364454
375808 91.75 1.50620550125536
376320 91.875 1.50620551885661
376832 92 1.50620553648214
377344 92.125 1.50620555413451
377856 92.25 1.50620557180027
378368 92.375 1.50620558952304
378880 92.5 1.50620560728957
379392 92.625 1.50620562505799
379904 92.75 1.50620564277312
380416 92.875 1.50620566048538
380928 93 1.50620567820481
381440 93.125 1.50620569595329
381952 93.25 1.50620571370491
382464 93.375 1.50620573144902
382976 93.5 1.50620574922593
383488 93.625 1.50620576698934
384000 93.75 1.50620578472106
384512 93.875 1.50620580245986
385024 94 1.50620582019601
385536 94.125 1.50620583792748
386048 94.25 1.50620585564397
386560 94.375 1.50620587336792
387072 94.5 1.50620589110902
387584 94.625 1.50620590887671
388096 94.75 1.50620592662509
388608 94.875 1.50620594439686
389120 95 1.50620596215935
389632 95.125 1.50620597993258
390144 95.25 1.50620599771678
390656 95.375 1.50620601548916
391168 95.5 1.50620603324953
391680 95.625 1.50620605098972
392192 95.75 1.50620606872597
392704 95.875 1.50620608647903
393216 96 1.50620610422734
393728 96.125 1.50620612196203
394240 96.25 1.50620613969846
394752 96.375 1.50620615746757
395264 96.5 1.50620617526123
395776 96.625 1.50620619304351
396288 96.75 1.50620621083488
396800 96.875 1.50620622867083
397312 97 1.50620624649732
397824 97.125 1.50620626433587
398336 97.25 1.50620628217388
398848 97.375 1.50620629998138
399360 97.5 1.50620631778174
399872 97.625 1.50620633556124
