# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:05:52+0200
# parameter filename: "TOV_0_subgrid_2.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
# Run ID: run-TOV_0_subgrid_2-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.05.49-98201
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
22016 21.5 2195.22766747299 2273.52964433933 37.5021960735321 35.2583019733429 31.7563333511353 0 5.74798083305359 129 291877.470667209 291877.470667209 10291104 10291104 143304.462132637 143304.462132637 5052672 5052672 631.062762057677 853537.099117154 13274.7689398647 840262.330177289 3630 4904514 76482 4828032 0 0 0 0 37.1424200534821 1717520787.56254 27743
22528 22 2201.24670542448 2272.05374790516 38.2235050201416 35.9796109199524 32.380197763443 0 5.93139410018921 132 292677.761953239 292677.761953239 10530432 10530432 143697.38493011 143697.38493011 5170176 5170176 638.337132746875 859077.022562074 13309.4147857526 845767.607776321 3812 5331092 77972 5253120 0 0 0 0 37.8563766479492 1717520788.28385 28382
23040 22.5 2205.57801079026 2270.61178314613 38.9689610004425 36.7250669002533 33.027774810791 0 5.94360017776489 135 293253.652314673 293253.652314673 10769760 10769760 143980.132544388 143980.132544388 5287680 5287680 645.325676996651 897520.264436082 13333.1960102477 884187.068425834 3838 5332542 79422 5253120 0 0 0 0 38.5946087837219 1717520789.0293 29021
23552 23 2204.60766623298 2269.1920128253 39.8015971183777 37.5577030181885 33.7877328395844 0 6.08231091499329 138 293124.635302338 293124.635302338 11009088 11009088 143916.788451689 143916.788451689 5405184 5405184 647.836369327198 887783.753089828 13420.1565347254 874363.596555103 3936 5347848 80904 5266944 0 0 0 0 39.4174659252167 1717520789.86194 29660
24064 23.5 2202.87311454349 2267.63745817646 40.6482849121094 38.4043908119202 34.5505933761597 0 6.10003972053528 141 292894.009309703 292894.009309703 11248416 11248416 143803.556917399 143803.556917399 5522688 5522688 649.098101579116 877232.30479334 13471.9835392929 863760.321254047 3962 5349299 82355 5266944 0 0 0 0 40.2566211223602 1717520790.70863 30299
24576 24 2205.77681980718 2266.42164676579 41.4137680530548 39.1698739528656 35.1936948299408 0 6.32044100761414 144 293280.085961563 293280.085961563 11487744 11487744 143993.110797013 143993.110797013 5640192 5640192 653.046974576676 878548.017681404 13446.9478091009 865101.069872303 4144 5775874 83842 5692032 0 0 0 0 41.0143735408783 1717520791.47411 30938
25088 24.5 2208.02323012522 2265.22558137928 42.1891260147095 39.9452319145203 35.8581001758575 0 6.33442354202271 147 293578.768677449 293578.768677449 11727072 11727072 144139.756462574 144139.756462574 5757696 5757696 658.029220862486 912508.675062938 13439.2122486471 899069.462814291 4170 5777322 85290 5692032 0 0 0 0 41.7817764282227 1717520792.24947 31577
25600 25 2206.38771860211 2264.02013211526 43.034548997879 40.7906548976898 36.632740020752 0 6.44571900367737 150 293361.311065337 293361.311065337 11966400 11966400 144032.990270346 144032.990270346 5875200 5875200 660.43832533994 903462.134010062 13523.6774963649 889938.456513697 4268 5792633 86777 5705856 0 0 0 0 42.6169707775116 1717520793.09489 32216
26112 25.5 2212.53980722533 2263.08859519104 43.7346730232239 41.4907789230347 37.2788078784943 0 6.45805835723877 153 294179.29276868 294179.29276868 12205728 12205728 144434.59861567 144434.59861567 5992704 5992704 664.512021832153 897458.802207161 13633.6490968766 883825.153110284 4294 5794082 88226 5705856 0 0 0 0 43.308886051178 1717520793.79502 32855
26624 26 2199.61858815695 2261.6000737819 44.7967259883881 42.5528318881989 38.2183635234833 0 6.68939518928528 156 292461.287481348 292461.287481348 12445056 12445056 143591.101434886 143591.101434886 6110208 6110208 667.947384085592 898310.792621478 13606.729710856 884704.062910622 4476 6220654 89710 6130944 0 0 0 0 44.3602454662323 1717520794.85707 33494
