# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
288256 140.75 0.00127901703302728
288768 141 0.00127896100362297
289280 141.25 0.00127890449716678
289792 141.5 0.00127884767365352
290304 141.75 0.00127879073277524
290816 142 0.00127873379412155
291328 142.25 0.0012786768830948
291840 142.5 0.00127861998274025
292352 142.75 0.00127856307146579
292864 143 0.00127850614946607
293376 143.25 0.00127844927822211
293888 143.5 0.00127839259122342
294400 143.75 0.00127833623604547
294912 144 0.00127828030049868
295424 144.25 0.00127822479933449
295936 144.5 0.00127816971029436
296448 144.75 0.00127811500161575
296960 145 0.00127806065309563
297472 145.25 0.0012780067042788
297984 145.5 0.00127795329102686
298496 145.75 0.00127790059140006
299008 146 0.00127784870085572
299520 146.25 0.00127779756693751
300032 146.5 0.00127774706297642
300544 146.75 0.00127769712568092
301056 147 0.00127764782153685
301568 147.25 0.00127759929646587
302080 147.5 0.00127755167121963
302592 147.75 0.00127750496570262
303104 148 0.00127745909703844
303616 148.25 0.00127741395476328
304128 148.5 0.001277369509908
304640 148.75 0.00127732586813672
305152 149 0.00127728319601963
305664 149.25 0.00127724156532337
306176 149.5 0.00127720086952384
306688 149.75 0.00127716092050144
307200 150 0.00127712164183602
307712 150.25 0.00127708314754715
308224 150.5 0.00127704560678518
308736 150.75 0.00127700904316266
309248 151 0.00127697330527151
309760 151.25 0.00127693824464474
310272 151.5 0.001276903882162
310784 151.75 0.00127687035697345
311296 152 0.00127683772587667
311808 152.25 0.00127680586872251
312320 152.5 0.00127677461661589
312832 152.75 0.00127674393711184
313344 153 0.0012767139471029
313856 153.25 0.00127668474835398
314368 153.5 0.00127665629496204
314880 153.75 0.00127662844410537
315392 154 0.0012766011079764
315904 154.25 0.00127657431574374
316416 154.5 0.00127654812598276
316928 154.75 0.00127652251713026
317440 155 0.00127649739584037
317952 155.25 0.00127647270295897
318464 155.5 0.00127644847341074
318976 155.75 0.00127642477018768
319488 156 0.00127640157749612
320000 156.25 0.00127637879341916
320512 156.5 0.00127635633628035
321024 156.75 0.00127633423044582
321536 157 0.00127631255844516
322048 157.25 0.00127629133457343
322560 157.5 0.00127627045721141
323072 157.75 0.00127624980194829
323584 158 0.00127622934604983
324096 158.25 0.00127620918067534
324608 158.5 0.00127618940314046
325120 158.75 0.00127617001206682
325632 159 0.00127615090735398
326144 159.25 0.00127613197666209
326656 159.5 0.00127611317822408
327168 159.75 0.0012760945580256
327680 160 0.00127607620256299
328192 160.25 0.00127605816543458
328704 160.5 0.00127604041616931
329216 160.75 0.00127602285075663
329728 161 0.00127600536498499
330240 161.25 0.00127598793815444
330752 161.5 0.00127597065602363
331264 161.75 0.00127595364522611
331776 162 0.00127593696407277
332288 162.25 0.00127592053795411
332800 162.5 0.00127590420347414
333312 162.75 0.00127588783846974
333824 163 0.00127587146742466
334336 163.25 0.00127585523815509
334848 163.5 0.00127583928726385
335360 163.75 0.00127582362741054
335872 164 0.00127580815839216
336384 164.25 0.00127579276268125
336896 164.5 0.00127577737529121
337408 164.75 0.0012757619901801
337920 165 0.00127574664899627
338432 165.25 0.00127573143410566
338944 165.5 0.00127571643164256
339456 165.75 0.00127570166230472
339968 166 0.00127568704834795
340480 166.25 0.00127567246359437
340992 166.5 0.00127565781860925
341504 166.75 0.00127564310525468
342016 167 0.0012756283892502
342528 167.25 0.00127561377952932
343040 167.5 0.00127559937444306
343552 167.75 0.00127558518222374
344064 168 0.00127557107686955
344576 168.25 0.00127555686763442
345088 168.5 0.00127554245240523
345600 168.75 0.00127552790972653
346112 169 0.00127551342490481
346624 169.25 0.00127549911478458
347136 169.5 0.0012754849217493
347648 169.75 0.00127547067448279
348160 170 0.0012754562456193
348672 170.25 0.00127544164824838
349184 170.5 0.00127542698648739
349696 170.75 0.00127541232895402
350208 171 0.0012753976451271
350720 171.25 0.00127538285762959
351232 171.5 0.00127536792532369
351744 171.75 0.00127535285367173
352256 172 0.00127533764315682
352768 172.25 0.00127532226693059
353280 172.5 0.00127530670675141
353792 172.75 0.00127529097929259
354304 173 0.0012752751055429
354816 173.25 0.00127525907237272
355328 173.5 0.00127524284557067
355840 173.75 0.00127522640422157
356352 174 0.00127520973259211
356864 174.25 0.00127519278858384
357376 174.5 0.00127517552452549
357888 174.75 0.00127515795575264
358400 175 0.00127514017286315
358912 175.25 0.00127512224622835
359424 175.5 0.00127510412304353
359936 175.75 0.00127508565177539
360448 176 0.00127506672305209
360960 176.25 0.00127504737473851
361472 176.5 0.00127502774894274
361984 176.75 0.00127500795139897
362496 177 0.00127498795532453
363008 177.25 0.00127496763030151
363520 177.5 0.00127494685413193
364032 177.75 0.00127492560553378
364544 178 0.00127490396887242
365056 178.25 0.00127488205855812
