# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 08 2024 at 14:14:17+0200
# parameter filename: "TOV_0_subgrid_2_dx_1-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
# Run ID: run-TOV_0_subgrid_2_dx_1-0-MacBook-Pro-di-Federico.local-Federico-2024.06.08-12.14.14-67183
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
574464 280.5 -0.265469492832139 -0.284899508083674 -0.266999069067617
574976 280.75 -0.266317557954757 -0.285220356977189 -0.267674293312207
575488 281 -0.267079488576742 -0.285309680510057 -0.268308993539944
576000 281.25 -0.267172914434237 -0.285129662081628 -0.268308138603592
576512 281.5 -0.267150539625894 -0.284614206585715 -0.268183501388937
577024 281.75 -0.267054213669859 -0.279217868840158 -0.267882412290274
577536 282 -0.267927648975523 -0.278892498542505 -0.267353835453443
578048 282.25 -0.269177169946807 -0.279838064682665 -0.266169761219377
578560 282.5 -0.270802584100696 -0.280531015160288 -0.264081331201855
579072 282.75 -0.272380251644918 -0.280982543475099 -0.261551634662971
579584 283 -0.273910179528066 -0.281208102806985 -0.260127734111858
580096 283.25 -0.275382654001684 -0.280840197302947 -0.259756564849005
580608 283.5 -0.276801248620023 -0.280463127925664 -0.257507119909168
581120 283.75 -0.278155930552748 -0.280132117203875 -0.259261397158084
581632 284 -0.279455140679028 -0.279835669587372 -0.260977483220704
582144 284.25 -0.280692774116614 -0.279750631005785 -0.262639788252531
582656 284.5 -0.281855580699272 -0.279907733867243 -0.26419982386593
583168 284.75 -0.282557930544599 -0.280238886370575 -0.265379272736118
583680 285 -0.283164440555022 -0.280584484492106 -0.265642310491415
584192 285.25 -0.283851356310008 -0.281334675267595 -0.264809713609531
584704 285.5 -0.284302156254683 -0.282492400771383 -0.26357182947842
585216 285.75 -0.284439328857508 -0.283602946882334 -0.261873599979568
585728 286 -0.284238172924601 -0.28472538663402 -0.261414458396116
586240 286.25 -0.283244362424089 -0.285743202664701 -0.262265495776497
586752 286.5 -0.278074216893858 -0.286589840716706 -0.262849908548733
587264 286.75 -0.279657837237884 -0.287255444762935 -0.262304721814002
587776 287 -0.281176537202255 -0.287738211031635 -0.261452437404272
588288 287.25 -0.282606123613365 -0.286134138203603 -0.263027655826208
588800 287.5 -0.283468447694043 -0.28560737428307 -0.264481572670254
589312 287.75 -0.284223414641072 -0.286003669027246 -0.265820329306108
589824 288 -0.285388252708077 -0.286160976765269 -0.266651123887561
