# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
26624 26 1.21264196184703e-06 1.21436851357123e-06 1.21132783713722e-06
27136 26.5 1.1489703014465e-06 1.14943271702333e-06 1.14676721242517e-06
27648 27 1.29087946382699e-06 1.30526179984661e-06 1.28853262986446e-06
28160 27.5 1.18833433230685e-06 1.19228571436318e-06 1.18459470963923e-06
28672 28 1.52636433720471e-06 1.53104831092527e-06 1.52303238027251e-06
29184 28.5 1.48706817540552e-06 1.49121979258641e-06 1.48535663916063e-06
29696 29 1.94324903639959e-06 1.9459137371145e-06 1.94168913456353e-06
30208 29.5 2.52423627382498e-06 2.52782177796618e-06 2.5216729063458e-06
30720 30 2.32518797747066e-06 2.32883484328255e-06 2.32246220447823e-06
31232 30.5 1.27014451079775e-06 1.27232562831885e-06 1.26799134385868e-06
31744 31 6.76271516986637e-07 6.76259860059744e-07 6.74020063899299e-07
32256 31.5 9.05808347429018e-07 9.05640020185121e-07 9.04923514101731e-07
32768 32 7.27331356097029e-07 7.26757618009144e-07 7.2586383565986e-07
33280 32.5 1.07989419018496e-06 1.07937970400931e-06 1.07845657362372e-06
33792 33 1.53775200490033e-06 1.5426175182117e-06 1.53731605197343e-06
34304 33.5 1.42002838974124e-06 1.42519560136099e-06 1.41946685044911e-06
34816 34 8.88131296023388e-07 8.90198328872234e-07 8.87368194172086e-07
35328 34.5 8.43018292285578e-07 8.42701988054545e-07 8.42238029102523e-07
35840 35 7.73854944332037e-07 7.73513698174206e-07 7.72962558172387e-07
36352 35.5 1.29447699395308e-06 1.3010892102778e-06 1.29522538502335e-06
36864 36 2.05319568307131e-06 2.06011105793057e-06 2.05438256780575e-06
37376 36.5 1.54177188497299e-06 1.54868219444017e-06 1.54253006914607e-06
37888 37 1.13365991072765e-06 1.13670216482332e-06 1.1335998651179e-06
38400 37.5 7.53161833906247e-07 7.64836450947913e-07 7.5741664618338e-07
38912 38 1.51053260437722e-06 1.52156979240588e-06 1.51342290287137e-06
39424 38.5 2.04887134560655e-06 2.05745092310796e-06 2.05174123686781e-06
39936 39 1.78589817738432e-06 1.79775405279152e-06 1.78982539801671e-06
40448 39.5 1.24737967362039e-06 1.25150681986467e-06 1.24842736989248e-06
40960 40 7.29220678026703e-07 7.31005509510762e-07 7.2923100737583e-07
41472 40.5 1.25683026970849e-06 1.26716799794947e-06 1.26144379989861e-06
41984 41 1.47735555515596e-06 1.49161273302059e-06 1.48388453229761e-06
42496 41.5 1.10094430265244e-06 1.1110344129311e-06 1.10520382396392e-06
43008 42 8.13944944572654e-07 8.191701792841e-07 8.16146389311952e-07
43520 42.5 4.36295342756741e-07 4.38725798660024e-07 4.36918860562476e-07
44032 43 9.11574342884926e-07 9.23825860915808e-07 9.18877534750464e-07
44544 43.5 7.93702610660517e-07 8.0248058649851e-07 7.9868862945742e-07
45056 44 6.39070819703121e-07 6.45212957613292e-07 6.42295689680805e-07
45568 44.5 2.93819627186668e-07 3.00225716472858e-07 2.97297189477418e-07
46080 45 8.05694651075539e-07 6.46835157179294e-07 4.75015603666339e-07
46592 45.5 8.5894600401048e-07 8.73000090453413e-07 8.68283533610059e-07
47104 46 7.94654848233617e-07 8.04286668537328e-07 8.00804240534464e-07
47616 46.5 6.27178025825455e-07 6.33917848422732e-07 6.30898387524288e-07
48128 47 2.33244732173746e-07 2.40154297971248e-07 2.37085067752061e-07
48640 47.5 3.03231747158789e-07 3.10760496979478e-07 3.08851389614333e-07
49152 48 2.97255961556232e-07 3.02893606660736e-07 3.01148499799225e-07
49664 48.5 4.35657231478986e-07 4.3479976982887e-07 4.33501149918217e-07
50176 49 4.70080311261316e-07 4.68783570649958e-07 4.66833568543044e-07
50688 49.5 5.18275656615579e-07 5.1738451192752e-07 5.15955758949528e-07
51200 50 2.46192818854851e-07 2.43780030795654e-07 2.40757028124435e-07
51712 50.5 6.97618542572443e-07 6.96966680940955e-07 6.95897899208533e-07
52224 51 6.70537841529389e-07 6.69820217163906e-07 6.68671287196981e-07
52736 51.5 3.59191401939086e-07 3.57995706809794e-07 3.56404486688173e-07
53248 52 6.76160848749501e-07 6.74869007975338e-07 6.73026297977757e-07
53760 52.5 5.3020989225795e-07 5.29618376937287e-07 5.28744234782471e-07
54272 53 3.92629660109526e-07 3.91621133423455e-07 3.90164176300413e-07
54784 53.5 5.30492337881044e-07 5.29695241044826e-07 5.28459670417901e-07
55296 54 3.67336266761337e-07 3.66527794590423e-07 3.65383928979692e-07
55808 54.5 5.00900731130203e-07 5.00150495502222e-07 4.99122680191126e-07
56320 55 4.49191002293574e-07 4.48532182518815e-07 4.47609425809953e-07
56832 55.5 4.01770129041984e-07 4.01120080036898e-07 4.00265650489066e-07
57344 56 4.30871520501674e-07 4.30141087376885e-07 4.29719707517515e-07
57856 56.5 1.48547046208258e-06 1.27649031495024e-06 1.03246825540794e-06
58368 57 2.17834514134764e-06 1.96875737599505e-06 1.72138987051765e-06
58880 57.5 2.32975284563987e-06 2.11960790219612e-06 1.87006460743229e-06
59392 58 2.92348612799804e-06 2.7121767580304e-06 2.45993692365239e-06
59904 58.5 3.77971309343035e-06 3.56809157431516e-06 3.3138279078679e-06
60416 59 3.73094453778194e-06 3.51990536021035e-06 3.26400192169092e-06
60928 59.5 5.04476217416462e-06 4.59526480656104e-06 4.12200784129654e-06
