# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
208896 204 -1.47130837452119e-05 -1.48833883350088e-05 -1.55598561420912e-05
209408 204.5 -1.40276012761462e-05 -1.42086523724357e-05 -1.48746214941986e-05
209920 205 -1.34195009864202e-05 -1.36070782327115e-05 -1.42279590517453e-05
210432 205.5 -1.28943757477632e-05 -1.30700414244459e-05 -1.36395356332487e-05
210944 206 -1.23774692888295e-05 -1.253011324402e-05 -1.30626482287693e-05
211456 206.5 -1.17851314074761e-05 -1.19302497342334e-05 -1.24527679286424e-05
211968 207 -1.11398656204285e-05 -1.1298658449558e-05 -1.18117398835784e-05
212480 207.5 -1.07030398060046e-05 -1.08393750394151e-05 -1.13293941234629e-05
212992 208 -1.02169153713839e-05 -1.03512747795528e-05 -1.07866405477729e-05
213504 208.5 -9.68523857204979e-06 -9.78807250276484e-06 -1.01671862816924e-05
214016 209 -9.18871232818746e-06 -9.3037301141562e-06 -9.67741682489777e-06
214528 209.5 -8.80301483103001e-06 -8.88977257646459e-06 -9.2688937590941e-06
215040 210 -8.41219602611876e-06 -8.4595389772862e-06 -8.79823909308608e-06
215552 210.5 -8.01492751806357e-06 -8.0331945438387e-06 -8.32292713329814e-06
216064 211 -7.63873886213465e-06 -7.66536179841665e-06 -7.91568912873076e-06
216576 211.5 -7.25972412600876e-06 -7.29596431135805e-06 -7.53936406776043e-06
217088 212 -6.91753448863292e-06 -6.96292580557279e-06 -7.20036349420441e-06
217600 212.5 -6.55093288726354e-06 -6.60583222027216e-06 -6.83615806265082e-06
218112 213 -6.13922386378169e-06 -6.2037180194307e-06 -6.42698232488498e-06
218624 213.5 -5.79262647661734e-06 -5.86738003621167e-06 -6.08398836775415e-06
219136 214 -5.46982256615902e-06 -5.55408274668694e-06 -5.76364497420892e-06
219648 214.5 -5.06594716038096e-06 -5.16017097444493e-06 -5.36086723180539e-06
220160 215 -4.70929617936021e-06 -4.81248715775539e-06 -5.00691981044063e-06
220672 215.5 -4.43608539913172e-06 -4.50658404544336e-06 -4.69301304707294e-06
221184 216 -4.23637452696965e-06 -4.1961542229028e-06 -4.33096775071888e-06
221696 216.5 -3.95331304688095e-06 -3.90783577191074e-06 -3.9893966633247e-06
222208 217 -3.74157278011202e-06 -3.69318891674667e-06 -3.68515820406183e-06
222720 217.5 -3.53579816012039e-06 -3.49484827386355e-06 -3.47894345516167e-06
223232 218 -3.27835788860747e-06 -3.24498473418831e-06 -3.2221191478307e-06
223744 218.5 -3.07919597398536e-06 -3.05297103076697e-06 -3.02237688558142e-06
224256 219 -2.88848661909257e-06 -2.86840078574316e-06 -2.82935290753351e-06
224768 219.5 -2.65011462307384e-06 -2.63568000390725e-06 -2.58974445945042e-06
225280 220 -2.37672060410837e-06 -2.36817275068547e-06 -2.31416484044826e-06
225792 220.5 -2.17416577129097e-06 -2.1709637149564e-06 -2.10831741566331e-06
226304 221 -2.03915589565587e-06 -2.04248902331546e-06 -1.94491069488063e-06
226816 221.5 -1.84942619004314e-06 -1.85351850862137e-06 -1.74888267954165e-06
227328 222 -1.7122802382554e-06 -1.70349766737738e-06 -1.58233699642523e-06
227840 222.5 -1.6527171132131e-06 -1.64001838010519e-06 -1.51523228623126e-06
228352 223 -1.50071341511763e-06 -1.48355007212369e-06 -1.35574463184955e-06
228864 223.5 -1.3407368179679e-06 -1.31864324388557e-06 -1.18872407797281e-06
229376 224 -1.241368431216e-06 -1.21513129426634e-06 -1.084460268192e-06
229888 224.5 -1.11755060786858e-06 -1.08790177089383e-06 -9.54755361356961e-07
230400 225 -9.84701062395435e-07 -9.50311089126496e-07 -9.42566879564859e-07
230912 225.5 -9.39649602518441e-07 -9.40315768438903e-07 -9.41235941374977e-07
231424 226 -9.38065454662123e-07 -9.38721183349201e-07 -9.3961245903139e-07
231936 226.5 -9.35149541803929e-07 -9.35810874082001e-07 -9.36709757394387e-07
232448 227 -9.32491566010773e-07 -9.33117161406676e-07 -9.3392463243183e-07
232960 227.5 -9.30996924135476e-07 -9.31659865437837e-07 -9.32561268560773e-07
233472 228 -9.30236115417818e-07 -9.30894775906089e-07 -9.31805711957236e-07
233984 228.5 -9.26722352712438e-07 -9.27371944301954e-07 -9.28180467857856e-07
234496 229 -9.23845433586146e-07 -9.24544204274961e-07 -9.25480215756335e-07
235008 229.5 -9.24000368534178e-07 -9.24697451891436e-07 -9.25639052155342e-07
235520 230 -9.23238908866324e-07 -9.23905883438235e-07 -9.24743889604682e-07
236032 230.5 -9.20149875160423e-07 -9.20810271479731e-07 -9.21627901995586e-07
236544 231 -9.17336646097143e-07 -9.17927001196232e-07 -9.18868008293332e-07
