# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
346112 338 1.08469609884794
346624 338.5 1.08539396367541
347136 339 1.08607129654197
347648 339.5 1.08675551682126
348160 340 1.08653440613258
348672 340.5 1.08660600804251
349184 341 1.08826636813118
349696 341.5 1.0888372362339
350208 342 1.08960895676523
350720 342.5 1.08971032288442
351232 343 1.08943484246935
351744 343.5 1.08932664429636
352256 344 1.08820124133595
352768 344.5 1.08635396172564
353280 345 1.08504832002703
353792 345.5 1.08351747504036
354304 346 1.08384276165476
354816 346.5 1.08462561131032
355328 347 1.08478076532059
355840 347.5 1.08407691167002
356352 348 1.08338916260966
356864 348.5 1.08390062127002
357376 349 1.08353689486205
357888 349.5 1.08392689754894
358400 350 1.08371653500134
358912 350.5 1.08074006463918
359424 351 1.08104728070985
359936 351.5 1.0813949957521
360448 352 1.08173607638131
360960 352.5 1.08168124830719
361472 353 1.08073772419061
361984 353.5 1.07897992842094
362496 354 1.07658269451994
363008 354.5 1.07658320806569
363520 355 1.07724800324571
364032 355.5 1.07751094899449
364544 356 1.07719560989276
365056 356.5 1.07721872256017
365568 357 1.07800048260485
366080 357.5 1.07867574311693
366592 358 1.0794298435076
367104 358.5 1.08008521112686
367616 359 1.07983283066972
368128 359.5 1.07868798244033
368640 360 1.07726435764779
369152 360.5 1.07562624792176
369664 361 1.07527473327406
370176 361.5 1.07491637872172
370688 362 1.07553004217782
371200 362.5 1.07742545693909
371712 363 1.0792397047297
372224 363.5 1.08089177529764
372736 364 1.08264499502703
373248 364.5 1.08413775465155
373760 365 1.08549654661479
374272 365.5 1.08659343550338
374784 366 1.08711754680726
375296 366.5 1.08560625266029
375808 367 1.08459391105032
376320 367.5 1.07822904979287
376832 368 1.07771994762619
377344 368.5 1.0778771709421
377856 369 1.07838590751497
378368 369.5 1.07815608979853
378880 370 1.07699885437151
379392 370.5 1.07523157283407
379904 371 1.07682050159472
380416 371.5 1.07874507866121
380928 372 1.08118370205639
381440 372.5 1.08321311383736
381952 373 1.08405021433535
382464 373.5 1.08559603293803
382976 374 1.08836054759641
383488 374.5 1.09038642034971
384000 375 1.09150661573488
384512 375.5 1.09230653948041
385024 376 1.09178460661733
385536 376.5 1.0896809497158
386048 377 1.08693686635312
386560 377.5 1.08542851629452
387072 378 1.08325582929699
387584 378.5 1.08411312212416
388096 379 1.08454303741972
388608 379.5 1.08437291601434
389120 380 1.0835260248769
389632 380.5 1.08209834966086
390144 381 1.0827204496214
390656 381.5 1.0824609699332
391168 382 1.08289700349171
391680 382.5 1.08292018670871
392192 383 1.08059595597556
392704 383.5 1.08113242258041
393216 384 1.08091907755749
393728 384.5 1.08065757158662
394240 385 1.08133780986958
394752 385.5 1.08074614130004
395264 386 1.07907268479634
395776 386.5 1.07668160134925
396288 387 1.07599170998885
396800 387.5 1.07668449072939
397312 388 1.07655246161291
397824 388.5 1.07681068217149
398336 389 1.07744539160453
398848 389.5 1.07812411901996
399360 390 1.07880152318567
399872 390.5 1.07935675716506
400384 391 1.07955727464152
400896 391.5 1.08017761377887
401408 392 1.07999005495961
401920 392.5 1.08001745207582
402432 393 1.0785632282111
402944 393.5 1.07712387027594
403456 394 1.07746601611351
403968 394.5 1.07732184032722
404480 395 1.07601244217222
404992 395.5 1.07438305396036
405504 396 1.0743010582665
406016 396.5 1.07547961573164
406528 397 1.07647536960726
407040 397.5 1.07728410936468
407552 398 1.07777691985063
408064 398.5 1.07753813367002
408576 399 1.07579445133955
409088 399.5 1.0762476822951
409600 400 1.07558439955429
