# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
381440 372.5 0.125935748564648
381952 373 0.125938645924848
382464 373.5 0.125941580064872
382976 374 0.125944619632774
383488 374.5 0.12594772270072
384000 375 0.125950743748763
384512 375.5 0.125953706219597
385024 376 0.12595674255983
385536 376.5 0.125959793226014
386048 377 0.125962679625862
386560 377.5 0.125965420471279
387072 378 0.125968167896322
387584 378.5 0.12597088592014
388096 379 0.125973383177805
388608 379.5 0.125975644093136
389120 380 0.125977847065022
389632 380.5 0.125979986335141
390144 381 0.125981851240612
390656 381.5 0.125983432316869
391168 382 0.125984906376407
391680 382.5 0.125986264469157
392192 383 0.125987349186879
392704 383.5 0.125988152410077
393216 384 0.125988786736512
393728 384.5 0.125989290171728
394240 385 0.125989571053839
394752 385.5 0.12598956996009
395264 386 0.12598939049286
395776 386.5 0.125989097422816
396288 387 0.125988609521853
396800 387.5 0.125987898474488
397312 388 0.125987034279713
397824 388.5 0.125986052352947
398336 389 0.125984930575303
398848 389.5 0.125983663403164
399360 390 0.125982274285454
399872 390.5 0.125980777134104
400384 391 0.125979187429435
400896 391.5 0.125977530213163
401408 392 0.125975792811584
401920 392.5 0.125973950731852
402432 393 0.125972058059043
402944 393.5 0.125970154028256
403456 394 0.125968197506866
403968 394.5 0.125966169126002
404480 395 0.125964086703102
404992 395.5 0.125962004327753
405504 396 0.125959940011512
406016 396.5 0.125957795939601
406528 397 0.125955557303021
407040 397.5 0.125953349718307
407552 398 0.125951178898043
408064 398.5 0.12594891424774
408576 399 0.125946531337577
409088 399.5 0.125944156171332
409600 400 0.125941832329215
