# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
120320 117.5 0.671533461044614
120832 118 0.671525743277327
121344 118.5 0.671512291255662
121856 119 0.671500829427498
122368 119.5 0.671494291953201
122880 120 0.67148759020844
123392 120.5 0.671476891262431
123904 121 0.671465816971453
124416 121.5 0.671461964205357
124928 122 0.671456851401836
125440 122.5 0.671447626089311
125952 123 0.671437172072213
126464 123.5 0.671433225163782
126976 124 0.671432436147677
127488 124.5 0.671426279621754
128000 125 0.671418447780498
128512 125.5 0.671412481787857
129024 126 0.671414117521616
129536 126.5 0.671413694156423
130048 127 0.671406764477422
130560 127.5 0.671403522981544
131072 128 0.671406208968304
131584 128.5 0.671407375935726
132096 129 0.671404692687628
132608 129.5 0.671404620465515
133120 130 0.671408885226324
133632 130.5 0.671412425585329
134144 131 0.671413751972028
134656 131.5 0.671414779717479
135168 132 0.671421477379681
135680 132.5 0.671430129011348
136192 133 0.67143260952592
136704 133.5 0.671436986861093
137216 134 0.67144637313287
137728 134.5 0.671454794907448
138240 135 0.671463259838174
138752 135.5 0.671471798555981
139264 136 0.671480793053183
139776 136.5 0.67149051299962
140288 137 0.671502436697169
140800 137.5 0.671515164255367
141312 138 0.671525924299583
141824 138.5 0.671535603419735
142336 139 0.671548985914563
142848 139.5 0.671565611628115
143360 140 0.671578094184269
143872 140.5 0.671588468454273
144384 141 0.671603547621743
144896 141.5 0.671619852077626
145408 142 0.671634395571881
145920 142.5 0.671647290702424
146432 143 0.671661102639647
146944 143.5 0.671678613934168
147456 144 0.671693830747446
147968 144.5 0.671706556125328
148480 145 0.671721013180373
148992 145.5 0.67173812542821
149504 146 0.671753858140489
150016 146.5 0.671766819634385
150528 147 0.671779336103818
151040 147.5 0.671795884704381
151552 148 0.671813610466599
152064 148.5 0.671824695798084
152576 149 0.671834774687186
153088 149.5 0.671852031934905
153600 150 0.671867831456336
154112 150.5 0.671878889999505
154624 151 0.671888849332841
155136 151.5 0.671902228599484
155648 152 0.671918768976677
156160 152.5 0.67192879205589
156672 153 0.671936568739764
157184 153.5 0.67194976329823
157696 154 0.671963808680799
158208 154.5 0.671973225395901
158720 155 0.671980890009302
159232 155.5 0.671991850859028
159744 156 0.672004504732777
160256 156.5 0.672012442519087
160768 157 0.672020372244143
161280 157.5 0.672030466421992
161792 158 0.672039891050136
162304 158.5 0.672047505036164
162816 159 0.672055916418679
163328 159.5 0.672065159159226
163840 160 0.672071573074911
164352 160.5 0.672078828067201
164864 161 0.672087770869823
165376 161.5 0.672095542855939
165888 162 0.672101077578693
166400 162.5 0.672108157366244
166912 163 0.672116515874376
167424 163.5 0.672122989442056
167936 164 0.672128708883612
168448 164.5 0.672135460741016
168960 165 0.672143159664737
169472 165.5 0.672149952237682
169984 166 0.672154954114349
170496 166.5 0.672160973029302
171008 167 0.672169198059839
171520 167.5 0.672176460764748
172032 168 0.672181529670067
172544 168.5 0.672186876837573
173056 169 0.672194929231108
173568 169.5 0.672203319323186
174080 170 0.672209644209084
174592 170.5 0.672213623675013
175104 171 0.672221408266658
175616 171.5 0.672232783343362
176128 172 0.672238493651043
176640 172.5 0.67224193589021
177152 173 0.672250919746569
177664 173.5 0.672263065389391
178176 174 0.67226958055209
178688 174.5 0.672273298596876
179200 175 0.67228319632653
179712 175.5 0.672294423042063
180224 176 0.672303100293776
180736 176.5 0.672308902762523
181248 177 0.672316589091798
181760 177.5 0.672329139646875
182272 178 0.672338955283538
182784 178.5 0.672345985284376
183296 179 0.672354941193132
183808 179.5 0.672365137502098
184320 180 0.672376974948173
184832 180.5 0.672385997878974
185344 181 0.672394646773354
185856 181.5 0.672405417180965
186368 182 0.672416099885991
186880 182.5 0.672427128302686
187392 183 0.672437602082033
187904 183.5 0.672446824706649
188416 184 0.672457429526184
188928 184.5 0.67247010558108
189440 185 0.672480584851173
189952 185.5 0.6724897199497
190464 186 0.672500812348455
190976 186.5 0.672512382799614
191488 187 0.672523852638622
192000 187.5 0.672534280044569
192512 188 0.672542481513448
193024 188.5 0.672554516514207
193536 189 0.672567427058378
194048 189.5 0.672576537279055
194560 190 0.67258442884713
195072 190.5 0.672595062353629
195584 191 0.672607386663264
196096 191.5 0.672617867416522
196608 192 0.672624289246652
197120 192.5 0.672632368447673
197632 193 0.672644967169369
198144 193.5 0.672655753180076
198656 194 0.672660134305883
199168 194.5 0.67266665608914
199680 195 0.67267923549029
200192 195.5 0.672688277960745
200704 196 0.672691495245837
201216 196.5 0.672697540542894
201728 197 0.672708462782684
202240 197.5 0.67271543931481
202752 198 0.672718523078391
203264 198.5 0.672724019146851
203776 199 0.672731529723298
204288 199.5 0.672737877271448
204800 200 0.67274117515343
205312 200.5 0.672744254864232
205824 201 0.672749908110345
206336 201.5 0.67275549465441
206848 202 0.672757801678547
207360 202.5 0.67276006687106
