# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 19:51:53+0200
# parameter filename: "TOV_0_subgrid_4.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
# Run ID: run-TOV_0_subgrid_4-MacBook-Pro-di-Federico.local-Federico-2024.06.04-17.51.50-98842
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
33280 32.5 0.00127881517168288
33792 33 0.00127867407802576
34304 33.5 0.00127851948214106
34816 34 0.00127834688290033
35328 34.5 0.0012781559666894
35840 35 0.00127795297601367
36352 35.5 0.00127774069708448
36864 36 0.00127752115012037
37376 36.5 0.0012772916748981
37888 37 0.00127703631051968
38400 37.5 0.00127672370806104
38912 38 0.00127632922948463
39424 38.5 0.00127584789720977
39936 39 0.0012753172392162
40448 39.5 0.00127474221601269
40960 40 0.00127411863554229
41472 40.5 0.00127344278414463
41984 41 0.0012727157253031
42496 41.5 0.00127193693695549
43008 42 0.00127111186170498
43520 42.5 0.00127023423513277
44032 43 0.0012693332648947
44544 43.5 0.00126845301224471
45056 44 0.00126762716916864
45568 44.5 0.00126686646179102
46080 45 0.00126616950693607
46592 45.5 0.00126554369139843
47104 46 0.00126499579787766
47616 46.5 0.00126454311738117
48128 47 0.0012642383737472
48640 47.5 0.0012640525195103
49152 48 0.00126395289326098
49664 48.5 0.00126391486672277
50176 49 0.00126392425697819
50688 49.5 0.00126396810042381
51200 50 0.00126403898588982
51712 50.5 0.00126413781782311
52224 51 0.00126425916279577
52736 51.5 0.00126440075031568
53248 52 0.00126456438403208
53760 52.5 0.00126475037812952
54272 53 0.00126495518518005
54784 53.5 0.001265173189531
55296 54 0.0012654049691251
55808 54.5 0.00126565093805419
56320 55 0.00126590504424426
56832 55.5 0.00126616176260278
57344 56 0.00126641989087936
57856 56.5 0.0012666852946315
58368 57 0.00126695331331953
58880 57.5 0.00126721763869988
59392 58 0.00126747687666166
59904 58.5 0.00126773404922007
60416 59 0.00126799395348116
60928 59.5 0.0012682546713019
