# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
206848 202 -2.50607599935672e-05 -2.50607599924184e-05 -2.50607599925435e-05
207360 202.5 -2.46795474096494e-05 -2.46795474083469e-05 -2.46795474086513e-05
207872 203 -2.43653218435572e-05 -2.4365321843833e-05 -2.4365321843277e-05
208384 203.5 -2.42088493016791e-05 -2.4208849302506e-05 -2.4208849302468e-05
208896 204 -2.41594272209041e-05 -2.41594272204429e-05 -2.41594272219073e-05
209408 204.5 -2.40390147320261e-05 -2.40390147316509e-05 -2.40390147325202e-05
209920 205 -2.37414646982781e-05 -2.37414646989246e-05 -2.37414646973317e-05
210432 205.5 -2.33042440047582e-05 -2.33042440056251e-05 -2.33042440031075e-05
210944 206 -2.27678643981335e-05 -2.27678643991196e-05 -2.27678643978282e-05
211456 206.5 -2.21408637049983e-05 -2.21408637060097e-05 -2.21408637053634e-05
211968 207 -2.13899626493975e-05 -2.13899626493975e-05 -2.13899626500687e-05
212480 207.5 -2.05828287247775e-05 -2.05828287233738e-05 -2.05828287259716e-05
212992 208 -1.99186750103513e-05 -1.99186750091096e-05 -1.99186750111976e-05
213504 208.5 -1.9557886411339e-05 -1.95578864114524e-05 -1.9557886410522e-05
214016 209 -1.94134552544835e-05 -1.94134552543232e-05 -1.94134552535895e-05
214528 209.5 -1.92592600982445e-05 -1.92592600959351e-05 -1.92592600982912e-05
215040 210 -1.89521936843779e-05 -1.89521936824094e-05 -1.89521936838949e-05
215552 210.5 -1.84762107738433e-05 -1.8476210775756e-05 -1.8476210773328e-05
216064 211 -1.78105687957329e-05 -1.78105687996334e-05 -1.7810568797444e-05
216576 211.5 -1.69951225063556e-05 -1.69951225066964e-05 -1.69951225079699e-05
217088 212 -1.62644309801225e-05 -1.62644309768034e-05 -1.62644309774996e-05
217600 212.5 -1.58952238447448e-05 -1.5895223841545e-05 -1.5895223841132e-05
218112 213 -1.58369946184732e-05 -1.5836994617813e-05 -1.58369946196637e-05
218624 213.5 -1.57797316163066e-05 -1.57797316168564e-05 -1.57797316201659e-05
219136 214 -1.5624734569822e-05 -1.56247345708972e-05 -1.56247345705683e-05
219648 214.5 -1.5522413003562e-05 -1.55224130042334e-05 -1.55224130013124e-05
220160 215 -1.54849200520371e-05 -1.54849200515766e-05 -1.54849200510217e-05
220672 215.5 -1.53246530364806e-05 -1.53246530348797e-05 -1.53246530359498e-05
221184 216 -1.49714525532028e-05 -1.49714525524589e-05 -1.4971452551712e-05
221696 216.5 -1.46304827708537e-05 -1.46304827720792e-05 -1.46304827711008e-05
222208 217 -1.46062125330439e-05 -1.46062125357067e-05 -1.46062125358794e-05
222720 217.5 -1.51840337865417e-05 -1.51840337877015e-05 -1.51840337876067e-05
223232 218 -1.62637697252512e-05 -1.62637697232053e-05 -1.62637697230119e-05
223744 218.5 -1.74630321887621e-05 -1.74630321858444e-05 -1.74630321868302e-05
224256 219 -1.84241366620537e-05 -1.84241366611633e-05 -1.84241366622022e-05
