# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 04 2024 at 22:05:31+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_2-0.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
# Run ID: run-TOV_pert_110_subgrid_2_dx_2-0-MacBook-Pro-di-Federico.local-Federico-2024.06.04-20.05.29-1125
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
74752 73 0.000819901204958092
75264 73.5 0.000820474987748297
75776 74 0.000821119844491056
76288 74.5 0.000821824840923404
76800 75 0.000822582360699951
77312 75.5 0.000823388352343266
77824 76 0.000824239382492151
78336 76.5 0.000825130692408795
78848 77 0.000826056688976745
79360 77.5 0.000827012269739479
79872 78 0.000827993979417971
80384 78.5 0.000829000904057651
80896 79 0.000830011693479711
81408 79.5 0.000830947950740532
81920 80 0.000831811099059377
82432 80.5 0.000832617992730299
82944 81 0.000833391435191718
83456 81.5 0.000834157580392936
83968 82 0.000834941131088479
84480 82.5 0.000835762580996307
84992 83 0.000836639931530032
85504 83.5 0.000837590925690552
86016 84 0.00083863126473932
86528 84.5 0.000839770310481387
87040 85 0.000841009840604685
87552 85.5 0.000842347165435165
88064 86 0.000843777608302146
88576 86.5 0.000845294027173416
89088 87 0.000846885096461279
89600 87.5 0.000848535882940047
90112 88 0.000850231414644492
90624 88.5 0.000851959605808793
91136 89 0.000853711320824553
91648 89.5 0.000855479056247201
92160 90 0.000857256868475629
92672 90.5 0.000859043657529991
93184 91 0.000860858820572594
93696 91.5 0.000862711212852965
94208 92 0.000864604740497048
94720 92.5 0.000866541847721561
95232 93 0.0008685238515946
95744 93.5 0.000870552844387923
96256 94 0.000872632626253218
96768 94.5 0.00087476734678226
97280 95 0.000876955466905914
97792 95.5 0.000879195487433339
98304 96 0.000881490437532151
98816 96.5 0.000883844344480303
99328 97 0.000886262276030142
99840 97.5 0.000888749541924352
100352 98 0.000891310737673639
100864 98.5 0.000893949268627964
101376 99 0.000896667970928866
101888 99.5 0.000899470383973369
102400 100 0.000902360909516254
102912 100.5 0.000905343454757898
103424 101 0.000908419332167082
103936 101.5 0.000911586956487554
104448 102 0.000914843949812665
104960 102.5 0.000918189087411684
105472 103 0.000921621558709138
105984 103.5 0.00092513858133228
106496 104 0.000928734576157035
107008 104.5 0.000932403040398826
107520 105 0.00093613884382479
108032 105.5 0.000939938503594271
108544 106 0.000943798741569936
109056 106.5 0.000947715315395635
109568 107 0.000951683179797233
110080 107.5 0.000955697681341697
110592 108 0.000959755775027239
111104 108.5 0.000963856177500729
111616 109 0.000967998242681648
112128 109.5 0.000972180621984416
112640 110 0.000976401131794488
113152 110.5 0.000980658031018269
113664 111 0.000984950911462129
114176 111.5 0.000989279917775243
114688 112 0.000993644261678605
115200 112.5 0.000998041705801827
115712 113 0.00100246940946771
116224 113.5 0.00100692495129713
116736 114 0.00101140646965776
117248 114.5 0.00101591233132146
117760 115 0.0010204411107513
118272 115.5 0.00102499185728958
118784 116 0.0010295641888224
119296 116.5 0.00103415808385508
119808 117 0.00103877377528411
120320 117.5 0.0010434116979016
120832 118 0.00104807203035255
121344 118.5 0.00105275401711775
121856 119 0.00105745581451464
122368 119.5 0.00106217500115871
122880 120 0.00106690902384543
123392 120.5 0.00107165517006753
123904 121 0.00107641009664062
124416 121.5 0.00108116949025957
124928 122 0.00108592820813859
125440 122.5 0.00109068072560117
125952 123 0.00109542176834963
126464 123.5 0.00110014651274188
126976 124 0.00110485026750857
127488 124.5 0.00110952840543445
128000 125 0.00111417708485814
128512 125.5 0.00111879406141772
129024 126 0.00112337844615467
129536 126.5 0.00112792954770351
130048 127 0.00113244626724727
130560 127.5 0.00113692770516835
131072 128 0.00114137377867242
131584 128.5 0.00114578463509676
132096 129 0.00115015950039524
132608 129.5 0.00115449652115033
133120 130 0.00115879368856384
133632 130.5 0.00116304932442416
134144 131 0.00116726133297834
134656 131.5 0.00117142639883396
135168 132 0.00117554043486504
135680 132.5 0.00117959974126508
136192 133 0.00118360131141917
136704 133.5 0.00118754196341492
137216 134 0.00119141761027772
137728 134.5 0.00119522367986574
138240 135 0.00119895610775644
138752 135.5 0.00120261170750918
139264 136 0.00120619022296414
139776 136.5 0.00120970856617472
140288 137 0.0012131653251777
140800 137.5 0.00121655156715232
141312 138 0.00121984857528134
141824 138.5 0.00122304277654586
142336 139 0.00122612741418412
142848 139.5 0.00122909624418959
143360 140 0.00123194268546834
143872 140.5 0.00123466036820125
144384 141 0.00123724374348285
144896 141.5 0.00123968830690953
145408 142 0.00124199037987612
145920 142.5 0.00124414652116038
146432 143 0.00124615308641325
146944 143.5 0.00124800620080076
147456 144 0.00124970201400264
147968 144.5 0.00125123685451326
148480 145 0.00125258300349465
148992 145.5 0.00125362672958963
149504 146 0.0012543544094186
150016 146.5 0.00125477227491337
150528 147 0.00125489108419436
151040 147.5 0.00125472632785241
151552 148 0.0012542969152952
152064 148.5 0.00125362262119023
152576 149 0.00125272249795002
153088 149.5 0.00125161530402316
153600 150 0.00125032047505759
154112 150.5 0.00124885776330027
154624 151 0.00124724571083541
155136 151.5 0.00124550059453365
155648 152 0.00124363662834244
156160 152.5 0.00124166674259206
156672 153 0.0012396135126627
157184 153.5 0.00123753501181585
157696 154 0.00123544165075029
158208 154.5 0.00123333375779755
158720 155 0.00123120986338986
159232 155.5 0.00122906722379644
159744 156 0.00122690230366032
160256 156.5 0.00122471120150893
160768 157 0.00122249029507198
161280 157.5 0.00122023589913431
161792 158 0.0012179433459098
162304 158.5 0.00121560733354082
162816 159 0.00121322252449896
163328 159.5 0.00121078424493489
163840 160 0.00120828919729031
164352 160.5 0.0012057348116965
164864 161 0.0012031187610403
165376 161.5 0.00120043917193397
