# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
406016 99.125 6.40711755141982e-07 6.40709833312495e-07 6.40719472494064e-07
406528 99.25 6.45136843298476e-07 6.45133991871633e-07 6.45141967560367e-07
407040 99.375 6.492362458872e-07 6.49237006861157e-07 6.49241200625638e-07
407552 99.5 6.53070695499854e-07 6.53069403461487e-07 6.53074960972378e-07
408064 99.625 6.57051656079757e-07 6.57050380455933e-07 6.57053778238153e-07
408576 99.75 6.60126281415733e-07 6.60122923265976e-07 6.60129204805406e-07
409088 99.875 6.63337162420429e-07 6.63334121634173e-07 6.63340374415647e-07
409600 100 6.66875110406141e-07 6.66874894478404e-07 6.66882708879765e-07
410112 100.125 6.70863674983085e-07 6.70862484284968e-07 6.70868630209692e-07
410624 100.25 6.74930266109766e-07 6.74928661630764e-07 6.74933166387486e-07
411136 100.375 6.78681818853772e-07 6.78681199032386e-07 6.78684409193691e-07
411648 100.5 6.81978115364644e-07 6.81977020268528e-07 6.81980728223665e-07
412160 100.625 6.85201503647554e-07 6.85197507517625e-07 6.85205078204167e-07
412672 100.75 6.87901176194957e-07 6.87898873258298e-07 6.8790775951633e-07
413184 100.875 6.90701989471245e-07 6.90701288430667e-07 6.90710771458085e-07
413696 101 6.94536234722765e-07 6.9453436069132e-07 6.94541884838032e-07
414208 101.125 6.98989759514708e-07 6.98986742858111e-07 6.989932424332e-07
414720 101.25 7.03745821911463e-07 7.03741978490375e-07 7.03753194441103e-07
415232 101.375 7.0800151294037e-07 7.0799738241026e-07 7.08007719083594e-07
415744 101.5 7.11167409434925e-07 7.11161654211839e-07 7.11173538032264e-07
416256 101.625 7.1368124534255e-07 7.13677874965535e-07 7.13686496240562e-07
416768 101.75 7.16544427959137e-07 7.16542033417837e-07 7.1654704607186e-07
417280 101.875 7.20739400806448e-07 7.20738017389082e-07 7.20741472985002e-07
417792 102 7.25882499210304e-07 7.25881414753048e-07 7.25886581912883e-07
418304 102.125 7.30631279169117e-07 7.30628687294621e-07 7.30636451738304e-07
418816 102.25 7.34704853745476e-07 7.3470022443113e-07 7.34710094659729e-07
