# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
1022464 249.625 1.06827453348106
1022976 249.75 1.06864348532004
1023488 249.875 1.06893198023092
1024000 250 1.06923908273994
1024512 250.125 1.06973705643047
1025024 250.25 1.07022210816312
1025536 250.375 1.07063644203677
1026048 250.5 1.07094213211388
1026560 250.625 1.07108496057576
1027072 250.75 1.07138403093112
1027584 250.875 1.07214345429162
1028096 251 1.07284751846222
1028608 251.125 1.07349573336571
1029120 251.25 1.07408717186491
1029632 251.375 1.0746150340505
1030144 251.5 1.07506475374827
1030656 251.625 1.07542554695134
1031168 251.75 1.07572178553878
1031680 251.875 1.07593054961926
1032192 252 1.07597238101761
1032704 252.125 1.0758049702548
1033216 252.25 1.07531840491249
1033728 252.375 1.07504580937407
1034240 252.5 1.075425221846
1034752 252.625 1.07567980166578
1035264 252.75 1.07576589441018
1035776 252.875 1.0756001261353
1036288 253 1.07497460654859
1036800 253.125 1.07363600925906
1037312 253.25 1.0731098020549
1037824 253.375 1.07319226135809
1038336 253.5 1.07322254969683
1038848 253.625 1.07311394619156
1039360 253.75 1.07375952191268
1039872 253.875 1.07460838906813
1040384 254 1.07524218740129
1040896 254.125 1.07555569369033
1041408 254.25 1.07561722604235
1041920 254.375 1.07547338194204
1042432 254.5 1.07558544124356
1042944 254.625 1.07570664190767
1043456 254.75 1.07572884054542
1043968 254.875 1.07559897774109
1044480 255 1.07527264167225
1044992 255.125 1.07467759551919
1045504 255.25 1.07321330734432
1046016 255.375 1.07305175579704
1046528 255.5 1.07286959355329
1047040 255.625 1.0724249664091
1047552 255.75 1.07227777474148
1048064 255.875 1.07194036145845
1048576 256 1.07120221904059
1049088 256.125 1.07186874482136
1049600 256.25 1.07255777147827
1050112 256.375 1.07311855862061
1050624 256.5 1.07343631540193
1051136 256.625 1.07349662945761
1051648 256.75 1.07345066751236
1052160 256.875 1.07331602731951
1052672 257 1.07357712208952
1053184 257.125 1.07377775991122
1053696 257.25 1.07387656135566
1054208 257.375 1.07384938056439
1054720 257.5 1.07385034400992
1055232 257.625 1.07379702844583
1055744 257.75 1.07387947942868
1056256 257.875 1.07462993413606
1056768 258 1.07529488618554
1057280 258.125 1.07587255484504
1057792 258.25 1.07626621433327
1058304 258.375 1.07659231665298
1058816 258.5 1.07686617826167
1059328 258.625 1.0770700873607
1059840 258.75 1.07718141897273
1060352 258.875 1.07717379245275
1060864 259 1.07720123254349
1061376 259.125 1.07726250457526
1061888 259.25 1.07719523104903
1062400 259.375 1.07693554289311
1062912 259.5 1.07672849423342
1063424 259.625 1.07672937713729
1063936 259.75 1.07661568697653
1064448 259.875 1.07635621834781
1064960 260 1.07584209436643
1065472 260.125 1.07536700873115
1065984 260.25 1.07563536508323
1066496 260.375 1.07613965813406
1067008 260.5 1.07666969757564
1067520 260.625 1.07712014270058
1068032 260.75 1.07750087171963
1068544 260.875 1.07781508259136
1069056 261 1.07805501447551
1069568 261.125 1.07822724146749
1070080 261.25 1.07835758408767
1070592 261.375 1.07846125842576
1071104 261.5 1.0784984361989
1071616 261.625 1.07845267801852
1072128 261.75 1.07831017171136
1072640 261.875 1.07801040027495
1073152 262 1.07750452754488
1073664 262.125 1.07671289791465
1074176 262.25 1.07613888081143
1074688 262.375 1.07631945194215
1075200 262.5 1.07644417847767
1075712 262.625 1.07650709212532
1076224 262.75 1.07654475931765
1076736 262.875 1.07657720766849
1077248 263 1.07647110414339
1077760 263.125 1.07667752191929
1078272 263.25 1.07671290347021
1078784 263.375 1.07736643560901
1079296 263.5 1.0777868538959
1079808 263.625 1.0778861689782
1080320 263.75 1.07789480002711
1080832 263.875 1.07809126196766
1081344 264 1.07820994796951
1081856 264.125 1.07823162202395
1082368 264.25 1.07813552989401
1082880 264.375 1.07798140638795
1083392 264.5 1.07784786624145
1083904 264.625 1.07751320091574
1084416 264.75 1.07702074143602
1084928 264.875 1.07690824484449
1085440 265 1.07678535014246
1085952 265.125 1.07688216801763
1086464 265.25 1.07679263466958
1086976 265.375 1.07601527421485
1087488 265.5 1.07483280463386
1088000 265.625 1.07413799277096
