# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
854528 208.625 1.85212845448762e-19 2.58116107005255e-19 1.42362512236996e-24
855040 208.75 1.74973119252758e-19 1.99262207914857e-19 2.66056410721838e-24
855552 208.875 1.67612371463107e-19 1.41279916819053e-19 3.8264465016529e-24
856064 209 1.92838425014692e-19 1.67571765509722e-19 1.74837301706001e-24
856576 209.125 1.78773760691254e-19 1.7126130418371e-19 8.13667960067265e-25
857088 209.25 2.02486806809465e-19 1.80283234414972e-19 2.57329973333807e-24
857600 209.375 2.30097888593099e-19 1.94119967449657e-19 2.28546809121033e-24
858112 209.5 2.4045930269312e-19 2.48322498456885e-19 2.22628767375206e-24
858624 209.625 2.0931224079448e-19 1.91300326781686e-19 3.40123923024821e-24
859136 209.75 1.74785785902776e-19 1.64395711248166e-19 3.58354119284038e-24
859648 209.875 1.66585262060146e-19 2.03836190737638e-19 3.36792449467434e-24
860160 210 1.87351225704511e-19 2.10453428346894e-19 3.34731429162845e-24
860672 210.125 2.07643165917028e-19 1.78491563116243e-19 3.33749353607518e-24
861184 210.25 2.1591881172723e-19 2.17604733672354e-19 2.29950318097002e-24
861696 210.375 1.80731191633514e-19 2.48771944751977e-19 2.17994657754717e-24
862208 210.5 1.92523274020027e-19 2.17689161796823e-19 1.24474384852648e-24
862720 210.625 1.86495105753591e-19 2.07634631666112e-19 1.73827467198187e-24
863232 210.75 2.47056777549417e-19 1.97725009520783e-19 4.33627241659664e-24
863744 210.875 2.23682727236251e-19 2.06948398022133e-19 2.65143688732443e-24
864256 211 1.90153904587169e-19 1.76039969268788e-19 3.57668616752796e-24
864768 211.125 2.02064863062941e-19 1.98754770765248e-19 2.09130685680092e-24
865280 211.25 2.22614755279505e-19 1.60544434041096e-19 1.20075405811307e-24
865792 211.375 2.04907442248807e-19 1.66589702004076e-19 1.79928261812344e-24
866304 211.5 1.83879625754968e-19 1.62745937542799e-19 2.02341362591863e-24
866816 211.625 1.69180529538432e-19 1.8287622923337e-19 4.07802321268137e-24
867328 211.75 1.65633700002889e-19 1.72463861135406e-19 4.86689688368744e-24
867840 211.875 2.08970537363215e-19 1.92215332870939e-19 3.46112794015354e-24
868352 212 2.48698716662337e-19 1.84380806627903e-19 2.35535051835588e-24
868864 212.125 2.8305187730091e-19 1.55513758202495e-19 2.19440122863959e-24
869376 212.25 2.34365552642857e-19 1.46965016824394e-19 1.96286411115252e-24
869888 212.375 1.98770531549987e-19 1.5758970226397e-19 1.58279253843966e-24
870400 212.5 2.43219498051126e-19 1.57582302055737e-19 1.18101540160501e-24
870912 212.625 2.39356704742711e-19 1.80306419226701e-19 2.51204579744997e-24
871424 212.75 1.79350656213809e-19 1.84456290851065e-19 2.52975371540346e-24
871936 212.875 1.98251957959923e-19 1.99897889445096e-19 2.7318239772183e-24
872448 213 2.02994101984154e-19 1.75749276989533e-19 2.52616388316278e-24
872960 213.125 2.56833107474876e-19 1.91385361371051e-19 2.68916288043085e-24
873472 213.25 2.91418868640783e-19 2.09668586983028e-19 3.86040588543408e-24
873984 213.375 1.98470624672307e-19 1.81410694310154e-19 1.22258907847715e-24
874496 213.5 2.04533799249882e-19 1.66240392113519e-19 2.30088072417115e-24
875008 213.625 1.91749210075482e-19 1.70181080889677e-19 3.30254719516894e-24
875520 213.75 3.23002448937144e-19 1.73178300863432e-19 3.02019261722457e-24
876032 213.875 3.15249202058722e-19 1.67572937076443e-19 1.63565529027208e-24
876544 214 2.64356735864999e-19 1.57804660937459e-19 1.36834091582728e-24
877056 214.125 1.84341073846068e-19 1.57199148656858e-19 2.3297338064992e-24
877568 214.25 1.97578891314185e-19 1.82504849362319e-19 2.14162240453479e-24
878080 214.375 2.20123674399327e-19 1.84308559177077e-19 1.61589555074691e-24
878592 214.5 2.20795218704128e-19 1.75794607322814e-19 1.36835233984466e-24
879104 214.625 2.47274608037069e-19 2.08019172661744e-19 2.71735213698356e-24
879616 214.75 2.45016756169292e-19 2.03557518981886e-19 7.66914244381744e-25
880128 214.875 2.51500651437585e-19 1.90163438619823e-19 2.86357907648791e-24
880640 215 2.79381188626971e-19 1.36583328587207e-19 2.87019809263961e-24
881152 215.125 2.23866369582162e-19 1.45427726257528e-19 9.76849616748137e-25
881664 215.25 1.93403330870246e-19 1.53117455858551e-19 3.1175853324366e-24
882176 215.375 2.66264577028612e-19 1.37556337709031e-19 3.40722745294772e-24
882688 215.5 2.50861984899363e-19 1.6045760389207e-19 1.04784226198755e-24
883200 215.625 2.59859353162546e-19 1.68611550428536e-19 8.69901438608011e-25
883712 215.75 1.57975329819827e-19 2.11486780679268e-19 2.40131851115595e-24
