# Scalar ASCII output created by CarpetIOScalar
# created on MacBook-Pro-di-Federico.local by Federico on Jun 05 2024 at 14:17:05+0200
# parameter filename: "TOV_pert_110_subgrid_2_dx_0-5.par"
# Build ID: build-sim-macbook-pro-di-federico.local-Federico-2024.05.24-20.15.30-64071
# Simulation ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
# Run ID: run-TOV_pert_110_subgrid_2_dx_0-5-MacBook-Pro-di-Federico.local-Federico-2024.06.05-12.17.01-8067
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
498176 121.625 81.976066677384 81.9412949535605 5344.42183113098 5341.19307923317 5174.49595212936 0 169.944995164871 2919 445531.542615877 445531.542615877 2379669992 2379669992 364932.673858673 364932.673858673 1949175872 1949175872 475.842764357455 2965243.79900488 8926.30957045432 2956317.48943443 80862 503871881 1517033 502354848 0 0 0 0 5336.23490381241 1717595166.72519 622013
498688 121.75 81.9764474253217 81.9415644844244 5349.88640499115 5346.65765309334 5179.81553673744 0 170.138944625854 2922 445533.611941998 445533.611941998 2382115696 2382115696 364934.368833421 364934.368833421 1951179136 1951179136 475.801651575538 2962816.71972363 8928.11341290307 2953888.60631072 80960 503904870 1518630 502386240 0 0 0 0 5341.68949627876 1717595172.18976 622652
499200 121.875 81.9784772030983 81.9418331814738 5355.243268013 5352.01451611519 5185.02998948097 0 170.232718467712 2925 445544.643576725 445544.643576725 2384561400 2384561400 364943.404790639 364943.404790639 1953182400 1953182400 475.767817284373 2960440.1745025 8929.90260870859 2951510.27189379 80986 503906450 1520210 502386240 0 0 0 0 5347.03820466995 1717595177.54663 623291
499712 122 81.9779368258691 81.9421147893509 5360.76782894135 5357.53907704353 5190.34190106392 0 170.552806377411 2928 445541.706681723 445541.706681723 2387007104 2387007104 364940.999194529 364940.999194529 1955185664 1955185664 475.784412676449 2962595.92239472 8928.16614790186 2953667.75624682 81168 505935603 1521795 504413808 0 0 0 0 5352.55435609818 1717595183.07119 623930
500224 122.125 81.9776956753162 81.9423765166101 5366.2728869915 5363.04413509369 5195.64529943466 0 170.646346569061 2931 445540.396053119 445540.396053119 2389452808 2389452808 364939.925665148 364939.925665148 1957188928 1957188928 475.831611772359 2965152.95823112 8926.38770675131 2956226.57052437 81194 505937118 1523310 504413808 0 0 0 0 5358.05129551888 1717595188.57625 624569
500736 122.25 81.9788658639457 81.9426550439348 5371.68555307388 5368.45680117607 5200.91797471046 0 170.845801353455 2934 445546.755908701 445546.755908701 2391898512 2391898512 364945.13499127 364945.13499127 1959192192 1959192192 475.804604004419 2962822.6789236 8928.47468244368 2953894.20424116 81292 505970112 1524912 504445200 0 0 0 0 5363.45542645454 1717595193.98891 625208
501248 122.375 81.9800309965372 81.942936050258 5377.09839606285 5373.86964416504 5206.17842626572 0 170.939587831497 2937 445553.088285233 445553.088285233 2394344216 2394344216 364950.321809438 364950.321809438 1961195456 1961195456 475.743121745879 2960282.92422787 8929.72308508791 2951353.20114278 81318 505971690 1526490 504445200 0 0 0 0 5368.85974121094 1717595199.40176 625847
501760 122.5 81.9800454526986 81.9432264519306 5382.58658909798 5379.35783720016 5211.46344614029 0 171.24972319603 2940 445553.166852993 445553.166852993 2396789920 2396789920 364950.3861639 364950.3861639 1963198720 1963198720 475.786025155766 2962594.01994127 8928.49426204022 2953665.52567923 81500 508000854 1528086 506472768 0 0 0 0 5374.33971619606 1717595204.88995 626486
502272 122.625 81.9801943867398 81.9435071323604 5388.06594705582 5384.837195158 5216.73558545113 0 171.359475851059 2943 445553.976294282 445553.976294282 2399235624 2399235624 364951.04917324 364951.04917324 1965201984 1965201984 475.817591444155 2965044.74304508 8926.73070712838 2956118.01233795 81526 508002410 1529642 506472768 0 0 0 0 5379.81088423729 1717595210.36931 627125
502784 122.75 81.9788984953931 81.9437818315644 5393.64028596878 5390.41153407097 5222.14660286903 0 171.564126729965 2946 445546.933257282 445546.933257282 2401681328 2401681328 364945.280256611 364945.280256611 1967205248 1967205248 475.725977338465 2962321.00108619 8927.55332048881 2953393.4477657 81624 508035394 1531234 506504160 0 0 0 0 5385.37664747238 1717595215.94365 627764
503296 122.875 81.9788205472172 81.9440434624818 5399.13463401794 5395.90588212013 5227.48980259895 0 171.664033412933 2949 445546.509616914 445546.509616914 2404127032 2404127032 364944.93325489 364944.93325489 1969208512 1969208512 475.668269909621 2959813.82486178 8928.81531782863 2950885.00954395 81650 508036967 1532807 506504160 0 0 0 0 5390.86270523071 1717595221.43799 628403
503808 123 81.9790628633444 81.9443139223589 5404.60789108276 5401.37913918495 5232.76018762589 0 171.978097677231 2952 445547.826580295 445547.826580295 2406572736 2406572736 364946.011973055 364946.011973055 1971211776 1971211776 475.711914419114 2962120.89984508 8927.59093743123 2953193.30890765 81832 510066119 1534391 508531728 0 0 0 0 5396.32737135887 1717595226.91125 629042
504320 123.125 81.9798473331366 81.9445788217993 5410.04535889626 5406.81660699844 5237.99166035652 0 172.072958707809 2955 445552.090093426 445552.090093426 2409018440 2409018440 364949.504195486 364949.504195486 1973215040 1973215040 475.746820293414 2964582.69905895 8925.64363936268 2955657.05541959 81858 510067639 1535911 508531728 0 0 0 0 5401.75665330887 1717595232.34872 629681
504832 123.25 81.980883482698 81.9448544668286 5415.46610713005 5412.23735523224 5243.26855826378 0 172.26545882225 2958 445557.721460375 445557.721460375 2411464144 2411464144 364954.116820186 364954.116820186 1975218304 1975218304 475.709442668175 2962205.78840022 8927.513835832 2953278.27456438 81956 510100633 1537513 508563120 0 0 0 0 5407.16875910759 1717595237.76947 630320
505344 123.375 81.9827539967742 81.945132090515 5420.83158111572 5417.60282921791 5248.49175453186 0 172.359121322632 2961 445567.88751317 445567.88751317 2413909848 2413909848 364962.443783542 364962.443783542 1977221568 1977221568 475.676467970151 2959861.34552468 8929.28251410982 2950932.06301057 81982 510102213 1539093 508563120 0 0 0 0 5412.52587509155 1717595243.13494 630959
505856 123.5 81.9832304423679 81.9454316939581 5426.28902411461 5423.0602722168 5253.74613761902 0 172.667402982712 2964 445570.476946269 445570.476946269 2416355552 2416355552 364964.564775333 364964.564775333 1979224832 1979224832 475.71940905311 2962155.86965425 8928.07597744327 2953227.79367681 82164 512131377 1540689 510590688 0 0 0 0 5417.97489953041 1717595248.59238 631598
506368 123.625 81.9851029119841 81.9457267189563 5431.65396809578 5428.42521619797 5258.91438651085 0 172.758639335632 2967 445580.653627225 445580.653627225 2418801256 2418801256 364972.900444162 364972.900444162 1981228096 1981228096 475.779779283486 2964767.59003958 8926.87701250357 2955840.71302708 82190 512132933 1542245 510590688 0 0 0 0 5423.33180713654 1717595253.95733 632237
506880 123.75 81.9866741739743 81.9460391802247 5437.0386300087 5433.80987811089 5264.15036129951 0 172.95358300209 2970 445589.193275523 445589.193275523 2421246960 2421246960 364979.895227672 364979.895227672 1983231360 1983231360 475.729212942437 2962317.07231387 8928.4831846894 2953388.58912918 82288 512165927 1543847 510622080 0 0 0 0 5428.70778822899 1717595259.34199 632876
507392 123.875 81.9886662117596 81.9463593405114 5442.39517092705 5439.16641902924 5269.36934351921 0 173.044445037842 2973 445600.019797256 445600.019797256 2423692664 2423692664 364988.763177854 364988.763177854 1985234624 1985234624 475.709327521308 2960062.63731239 8930.49912345059 2951132.13818894 82314 512167508 1545428 510622080 0 0 0 0 5434.05639839172 1717595264.69853 633515
